"","site","Site.code","lat","lon","Country","Province.or.district","RFZ","Biome","Stratigraphic.context","Dating.technique","Material.dated","Species","Lab.ID","c14age","c14std","Archaeological.Period","culture","Sample.context","Site.Type","delta.13","refcode","Notes"
"1","Klipfonteinrand","KFR",-32.067,20.167,"South Africa","Western Cape","W","Succulent Karoo Biome","rwhf","AMS","","","D-AMS-002439",12303,41,"LSA","Oakhurst","","rock shelter",NA,"mackay2016toa","hrnf macrolithic"
"2","Byneskranskop 1","BNK1",-34.583,19.467,"South Africa","Western Cape","Y","Fynbos Biome","","AMS","bone","","OxA-32685",12250,55,"LSA","Oakhurst","","rock shelter",NA,"loftus2016rdb",""
"3","Drotsky's Cave","DYC",-20.333,21.417,"Botswana","North-West District","S","Desert Biome","31 cm below datumn","conventional 14C","","","S-16591",12250,150,"LSA","Oakhurst","","rock shelter",NA,"yellen1987tpa",""
"4","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","","conventional 14C","charcoal","","UW-177",11950,150,"LSA","Oakhurst","","rock shelter",NA,"deacon1984lss",""
"5","Klipfonteinrand","KFR",-32.067,20.167,"South Africa","Western Cape","W","Succulent Karoo Biome","wors","AMS","","","D-AMS-001836",11723,52,"LSA","Oakhurst","","rock shelter",NA,"mackay2016toa","hrnf with oes"
"6","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","CS","conventional 14C","charcoal","","UW-162 ",11505,110,"LSA","Oakhurst","","rock shelter",NA,"deacon1984lss",""
"7","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","Layer D","conventional 14C","charcoal","","L-336H",11250,400,"LSA","Oakhurst","","rock shelter",NA,"sealy2006rdm","Forest"
"8","Drotsky's Cave","DYC",-20.333,21.417,"Botswana","North-West District","S","Desert Biome","50 cm below datumn","conventional 14C","","","Beta-50163",11240,60,"LSA","Oakhurst","","rock shelter",NA,"robbins1996pad",""
"9","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","","conventional 14C","charcoal","","I-6515",11080,260,"LSA","Oakhurst","","rock shelter",NA,"deacon1984lss",""
"10","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","KAMA, Level 6 (bottom)","conventional 14C","charcoal","","UW-0192",11070,140,"LSA","Oakhurst","","rock shelter",NA,"fairhall1976uwd",""
"11","Nyonyane","NYO",-27.3,31.9,"Swaziland","Hhohho District","S","Grassland Biome","II 42-53 cm","conventional 14C","charcoal","","TX-5637",10970,430,"LSA","Oakhurst","","rock shelter",NA,"barham1989rdn","Indian Ocean Cpastal Belt"
"12","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","SMOK","AMS","","","AA-5833",10840,70,"LSA","Oakhurst","","rock shelter",NA,"parkington1992mss",""
"13","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","GBAN","conventional 14C","","","Pta-0737",10700,100,"LSA","Oakhurst","","rock shelter",NA,"parkington1992mss",""
"14","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","SMOK","conventional 14C","","","Pta-5369",10660,100,"LSA","Oakhurst","","rock shelter",NA,"parkington1992mss",""
"15","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","charcoal","","Pta-6702",10660,280,"LSA","Oakhurst","","rock shelter",NA,"dockel1998imr","Forest"
"16","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","PBGB","conventional 14C","","","Pta-0732",10640,110,"LSA","Oakhurst","","rock shelter",NA,"parkington1992mss",""
"17","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","DUST","conventional 14C","","","Pta-6758",10620,100,"LSA","Oakhurst","","rock shelter",NA,"parkington1992mss",""
"18","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","BSL","conventional 14C","charcoal","","UW-218",10600,150,"","Oakhurst","","rock shelter",NA,"deacon1984lss","Not defined"
"19","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","ASHE","conventional 14C","","","Pta-5361",10560,100,"LSA","Oakhurst","","rock shelter",NA,"parkington1992mss",""
"20","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","BSBJ","conventional 14C","sediments","","UW-178",10540,110,"LSA","Oakhurst","","rock shelter",NA,"deacon1984lss",""
"21","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","Layer D","conventional 14C","charcoal","","L-336G",10500,400,"LSA","Oakhurst","","rock shelter",NA,"sealy2006rdm","Forest"
"22","Melkhoutboom","MKB",-33.317,25.283,"South Africa","Eastern Cape","Y","Thicket Biome","rock fall unit","conventional 14C","","","GaK-1538",10500,190,"LSA","Oakhurst","","rock shelter",NA,"deacon1976whg",""
"23","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","FOAM","conventional 14C","","","Pta-5336",10460,80,"LSA","Oakhurst","","rock shelter",NA,"parkington1992mss",""
