"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated"
"1","Byneskranskop 1","Pta-2347 ",7750,90,"Wilton",-34.583,19.467,""
"2","Matjies River","L-336E",7750,300,"Wilton",-34.017,23.417,"charcoal"
"3","Tortoise Cave","Pta-3596",7700,70,"Wilton",-32.341,18.399,"marine shell"
"4","Pomongwe Cave","SR-13",7690,140,"",-20.533,28.5,"other"
"5","Matjies River","Pta-6831 ",7685,30,"Oakhurst",-34.017,23.417,"marine shell"
"6","Belleview","Pta-359",7670,50,"",-29.999,29.058,"charcoal"
"7","Good Hope Shelter","Pta-1480 ",7670,55,"Wilton",-29.656,29.427,"charcoal"
"8","Melkhoutboom","Pta-666 ",7660,80,"Oakhurst",-33.317,25.283,""
"9","Rose Cottage Cave","Pta-6783",7630,80,"Wilton",-29.25,27.5,"charcoal"
"10","Pomongwe Cave","SR-14",7610,110,"",-20.533,28.5,"charcoal"
"11","Siphiso","Pta-3533",7600,80,"Oakhurst",-26.3,31.967,"bone"
"12","Namtib","KN-2142",7560,75,"",-26.033,16.25,"charcoal"
"13","Waterfall Bluff","IT-C-2324",7556,41,"",-31.434,29.824,"charcoal"
"14","Waterfall Bluff","BETA-442149",7550,30,"",-31.434,29.824,"charcoal"
"15","Waterfall Bluff","IT-C-2323",7514,52,"",-31.434,29.824,"charcoal"
"16","Kruger Cave","KRU-6",7500,60,"Oakhurst",-25.75,27.25,""
"17","Equus Cave","Pta-2495",7480,80,"",-27.617,24.633,"eggshell"
"18","Little Witkrans","Pta-2490",7470,70,"",-27.661,24.613,"charcoal"
"19","Buffelskloof","Pta-1841",7460,65,"Wilton",-33.667,21.867,""
"20","Maqonqo Shelter","Pta-6260 ",7460,140,"Wilton",-28.344,30.424,"charcoal"
"21","Wonderwerk","Pta-2798",7430,60,"",-27.846,23.555,"charcoal"
"22","Matjies River","Pta-6988",7420,80,"Wilton",-34.017,23.417,""
"23","Matjies River","Pta-6823 ",7400,30,"Oakhurst",-34.017,23.417,"charcoal"
"24","Waterfall Bluff","BETA-442148",7380,30,"",-31.434,29.824,"charcoal"
"25","Balerno Main Shelter","Pta-8591",7350,80,"",-22.265,29.188,"eggshell"
"26","Waterfall Bluff","IT-C-2326",7349,49,"",-31.434,29.824,"charcoal"
"27","Kangkara Cave","Pta-2812 ",7330,100,"Oakhurst",-33.783,23.083,"bone"
"28","Buffelskloof","UW-340",7300,120,"Wilton",-33.667,21.867,""
"29","Melkhoutboom","UW-234",7300,80,"Wilton",-33.317,25.283,""
"30","Siphiso","TX-5627",7300,100,"Wilton",-26.3,31.967,"snail"
"31","Matjies River","OxA-V-2064-52 ",7295,32,"Wilton",-34.017,23.417,""
"32","Apollo 11 Cave","Pta-1020",7280,80,"Wilton",-27.75,17.1,"charcoal"
"33","Waterfall Bluff","IT-C-2325",7261,40,"",-31.434,29.824,"charcoal"
"34","Liphofung","Pta-6113",7230,140,"",-28.753,28.496,"bone"
"35","Tloutle","Pta-5171",7230,80,"Wilton",-29.467,27.767,"charcoal"
"36","Sehonghong","Pta-6072 ",7210,80,"Oakhurst",-29.75,28.75,""
"37","Apollo 11 Cave","KN-I-867",7200,75,"Wilton",-27.75,17.1,"charcoal"
"38","Heuningsneskrans","Pta-112",7200,70,"Oakhurst",-24.6,30.65,"charred bone"
"39","Sehonghong","Pta-6278 ",7150,80,"Oakhurst",-29.75,28.75,""
"40","Oakhurst","Pta-4354",7120,60,"",-33.933,22.617,"bone"
"41","Montagu Cave","GrN-4725",7100,45,"",-33.833,20.167,"charcoal"
"42","Sehonghong","Pta-6280 ",7090,80,"Oakhurst",-29.75,28.75,""
"43","Matjies River","Pta-6817 ",7075,25,"Wilton",-34.017,23.417,"marine shell"
"44","Matjies River","GrN-5887",7050,45,"Wilton",-34.017,23.417,"marine shell"
"45","Matjies River","Pta-6691 ",7010,80,"Wilton",-34.017,23.417,"charcoal"
"46","Sehonghong","Pta-6083 ",7010,70,"Oakhurst",-29.75,28.75,""
"47","Melkhoutboom","Pta-668 ",6980,65,"Wilton",-33.317,25.283,""
"48","Blombosfontein 1","Pta-6177",6960,70,"Wilton",-34.4,21.217,"marine shell"
"49","Pockenbank","KN-I.624",6910,45,"",-27.217,16.517,"charcoal"
"50","Tloutle","Pta-5162 ",6910,80,"Wilton",-29.467,27.767,"charcoal"
"51","Tortoise Cave","Pta-5479",6910,80,"Wilton",-32.341,18.399,"marine shell"
"52","Grassridge","Pta-2719",6890,80,"",-31.567,26.85,""
"53","Sehonghong","Q-3174 ",6870,60,"Wilton",-29.75,28.75,""
"54","Siphiso","TX-5626",6860,110,"Wilton",-26.3,31.967,"snail"
"55","Aspoort Cave","Pta-2422",6850,145,"",-32.5,19.519,"charcoal"
"56","Grassridge","Pta-2949",6850,100,"",-31.567,26.85,""
"57","Rose Cottage Cave","GrN-5299",6850,45,"Wilton",-29.25,27.5,"charcoal"
"58","Cha-re Shelter","Pta-2077",6840,70,"",-23.65,15.917,"charcoal"
"59","White Paintings Shelter","UGA-6728",6840,40,"",-18.75,21.75,"eggshell"
"60","Wonderwerk","Pta-3425",6840,80,"",-27.846,23.555,"charcoal"
"61","Chicaza","Wk-40714",6793,30,"",-12.89,35.25,"bone"
"62","Txina-Txina","Wk-44419",6791,20,"",-23.893881,31.912163,"Eggshell"
