"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated"
"1","Namtib","Pta-1185",7840,90,"Wilton",-26.033,16.25,"charcoal"
"2","Byneskranskop 1","Pta-2347 ",7750,90,"Wilton",-34.583,19.467,""
"3","Matjies River","L-336E",7750,300,"Wilton",-34.017,23.417,"charcoal"
"4","Tortoise Cave","Pta-3596",7700,70,"Wilton",-32.341,18.399,"marine shell"
"5","Matjies River","Pta-6831 ",7685,30,"Oakhurst",-34.017,23.417,"marine shell"
"6","Good Hope Shelter","Pta-1480 ",7670,55,"Wilton",-29.656,29.427,"charcoal"
"7","Melkhoutboom","Pta-666 ",7660,80,"Oakhurst",-33.317,25.283,""
"8","Rose Cottage Cave","Pta-6783",7630,80,"Wilton",-29.25,27.5,"charcoal"
"9","Siphiso","Pta-3533",7600,80,"Oakhurst",-26.3,31.967,"bone"
"10","Kruger Cave","KRU-6",7500,60,"Oakhurst",-25.75,27.25,""
"11","Buffelskloof","Pta-1841",7460,65,"Wilton",-33.667,21.867,""
"12","Maqonqo Shelter","Pta-6260 ",7460,140,"Wilton",-28.344,30.424,"charcoal"
"13","Matjies River","Pta-6988",7420,80,"Wilton",-34.017,23.417,""
"14","Matjies River","Pta-6823 ",7400,30,"Oakhurst",-34.017,23.417,"charcoal"
"15","Kangkara Cave","Pta-2812 ",7330,100,"Oakhurst",-33.783,23.083,"bone"
"16","Buffelskloof","UW-340",7300,120,"Wilton",-33.667,21.867,""
"17","Melkhoutboom","UW-234",7300,80,"Wilton",-33.317,25.283,""
"18","Siphiso","TX-5627",7300,100,"Wilton",-26.3,31.967,"snail"
"19","Matjies River","OxA-V-2064-52 ",7295,32,"Wilton",-34.017,23.417,""
"20","Apollo 11 Cave","Pta-1020",7280,80,"Wilton",-27.75,17.1,"charcoal"
"21","Tloutle","Pta-5171",7230,80,"Wilton",-29.467,27.767,"charcoal"
"22","Sehonghong","Pta-6072 ",7210,80,"Oakhurst",-29.75,28.75,""
"23","Heuningsneskrans","Pta-112",7200,70,"Oakhurst",-24.6,30.65,"charred bone"
"24","Apollo 11 Cave","KN-I-867",7200,75,"Wilton",-27.75,17.1,"charcoal"
"25","Sehonghong","Pta-6278 ",7150,80,"Oakhurst",-29.75,28.75,""
"26","Sehonghong","Pta-6280 ",7090,80,"Oakhurst",-29.75,28.75,""
"27","Matjies River","Pta-6817 ",7075,25,"Wilton",-34.017,23.417,"marine shell"
"28","Matjies River","GrN-5887",7050,45,"Wilton",-34.017,23.417,"marine shell"
"29","Sehonghong","Pta-6083 ",7010,70,"Oakhurst",-29.75,28.75,""
"30","Matjies River","Pta-6691 ",7010,80,"Wilton",-34.017,23.417,"charcoal"
"31","Melkhoutboom","Pta-668 ",6980,65,"Wilton",-33.317,25.283,""
"32","Blombosfontein 1","Pta-6177",6960,70,"Wilton",-34.4,21.217,"marine shell"
"33","Tloutle","Pta-5162 ",6910,80,"Wilton",-29.467,27.767,"charcoal"
"34","Tortoise Cave","Pta-5479",6910,80,"Wilton",-32.341,18.399,"marine shell"
"35","Sehonghong","Q-3174 ",6870,60,"Wilton",-29.75,28.75,""
"36","Siphiso","TX-5626",6860,110,"Wilton",-26.3,31.967,"snail"
"37","Rose Cottage Cave","GrN-5299",6850,45,"Wilton",-29.25,27.5,"charcoal"
"38","Kruger Cave","KRU-5",6760,100,"Oakhurst",-25.75,27.25,""
