"","site","lat","lon","Country","Biome","Date","Uncertainty","Technological Complex"
"1","Amadzimba Cave",-20.75,28.75,"Zimbabwe","Savanna Biome",4200,"150","Wilton"
"2","Apollo 11 Cave",-27.75,17.1,"Namibia","Desert Biome",6200,"65","Wilton"
"3","Apollo 11 Cave",-27.75,17.1,"Namibia","Desert Biome",9430,"90","Wilton"
"4","Apollo 11 Cave",-27.75,17.1,"Namibia","Desert Biome",10420,"80","Wilton"
"5","Apollo 11 Cave",-27.75,17.1,"Namibia","Desert Biome",7200,"75","Wilton"
"6","Apollo 11 Cave",-27.75,17.1,"Namibia","Desert Biome",6480,"80","Wilton"
"7","Apollo 11 Cave",-27.75,17.1,"Namibia","Desert Biome",7280,"80","Wilton"
"8","Aspoort Cave",-32.5,19.519,"South Africa","Succulent Karoo Biome",5220,"60",""
"9","Aspoort Cave",-32.5,19.519,"South Africa","Succulent Karoo Biome",9420,"160",""
"10","Aspoort Cave",-32.5,19.519,"South Africa","Succulent Karoo Biome",6850,"145",""
"11","Balerno Main Shelter",-22.265,29.188,"South Africa","Savanna Biome",7350,"80",""
"12","Balerno Main Shelter",-22.265,29.188,"South Africa","Savanna Biome",11040,"90",""
"13","Ballito Bay",-29.52,31.229,"South Africa","Indian Ocean Coastal Belt",5900,"110",""
"14","Banda Cave",-26.2,31.033,"Swaziland","Grassland Biome",5890,"80",""
"15","Belleview",-29.999,29.058,"South Africa","Grassland Biome",7670,"50",""
"16","Blombosfontein 1",-34.4,21.217,"South Africa","Fynbos Biome",6960,"70","Wilton"
"17","Blombosfontein 2",-34.4,21.217,"South Africa","Fynbos Biome",6740,"70","Wilton"
"18","Blombosfontein 3",-34.4,21.217,"South Africa","Fynbos Biome",5960,"70","Wilton"
"19","Blombosfontein 4",-34.4,21.217,"South Africa","Fynbos Biome",5680,"70","Wilton"
"20","Blombosfontein 5",-34.4,21.217,"South Africa","Fynbos Biome",5520,"70","Wilton"
"21","Blombosfontein 6",-34.4,21.217,"South Africa","Fynbos Biome",4070,"60","Wilton"
"22","Blydefontein",-31.13,25.05,"South Africa","Grassland Biome",9400,"100",""
"23","Blydefontein",-31.133,25.05,"South Africa","Grassland Biome",11850,"150","Robberg"
"24","Blydefontein",-31.133,25.05,"South Africa","Grassland Biome",4066,"55","Wilton"
"25","Blydefontein",-31.133,25.05,"South Africa","Grassland Biome",4286,"149","Wilton"
"26","Blydefontein",-31.133,25.05,"South Africa","Grassland Biome",4101,"273","Wilton"
"27","Bonteberg Shelter",-34.2,18.383,"South Africa","Fynbos Biome",4690,"100",""
"28","Boomplaas",-33.383,22.183,"South Africa","Fynbos Biome",10430,"80","Robberg"
"29","Boomplaas",-33.383,22.183,"South Africa","Fynbos Biome",10505,"45","Robberg"
"30","Boomplaas",-33.383,22.183,"South Africa","Fynbos Biome",6400,"75","Wilton"
"31","Brandsebaai 2",-31.35,17.917,"South Africa","Succulent Karoo Biome",4510,"30",""
"32","Buffelskloof",-33.667,21.867,"South Africa","Thicket Biome",5120,"65","Wilton"
"33","Buffelskloof",-33.667,21.867,"South Africa","Thicket Biome",11875,"115",""
"34","Buffelskloof",-33.667,21.867,"South Africa","Thicket Biome",7460,"65","Wilton"
"35","Buffelskloof",-33.667,21.867,"South Africa","Thicket Biome",7300,"120","Wilton"
"36","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",11950,"150","Oakhurst"
"37","Klipfonteinrand",-32.067,20.167,"South Africa","Succulent Karoo Biome",11723,"52","Oakhurst"
"38","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",11505,"110","Oakhurst"
"39","Buzz Shelter",-31.524,18.6,"South Africa","Succulent Karoo Biome",4551,"54",""
"40","Buzz Shelter",-31.524,18.6,"South Africa","Succulent Karoo Biome",5452,"54",""
"41","Buzz Shelter",-31.524,18.6,"South Africa","Succulent Karoo Biome",4185,"31",""
"42","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",5428,"33","Wilton"
"43","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",5684,"32","Wilton"
"44","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",5263,"33","Wilton"
"45","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",5589,"34","Wilton"
"46","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",6048,"33","Wilton"
"47","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",11250,"400","Oakhurst"
"48","Drotsky's Cave",-20.333,21.417,"Botswana","Desert Biome",11240,"60","Oakhurst"
"49","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",11080,"260","Oakhurst"
"50","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",11070,"140","Oakhurst"
"51","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",6370,"90","Wilton"
"52","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",6540,"55","Wilton"
"53","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",7750,"90","Wilton"
"54","Byneskranskop 1",-34.583,19.467,"South Africa","Fynbos Biome",6100,"140","Wilton"
"55","Byneskranskop 3",-34.583,19.467,"South Africa","Fynbos Biome",4820,"90",""
"56","Cauldwell Shelter",-26.333,31.167,"Swaziland","Grassland Biome",6750,"70",""
"57","Cave James",-25.683,27.983,"South Africa","Savanna Biome",7840,"170",""
"58","Cave James",-25.683,27.983,"South Africa","Savanna Biome",6130,"110","Wilton"
"59","Cave James",-25.683,27.983,"South Africa","Savanna Biome",6740,"270",""
"60","Cha-re Shelter",-23.65,15.917,"Namibia","Desert Biome",5740,"60",""
"61","Cha-re Shelter",-23.65,15.917,"Namibia","Desert Biome",6840,"70",""
"62","Chicaza",-12.89,35.25,"Mozambique","",4048,"20",""
"63","Chicaza",-12.89,35.25,"Mozambique","",6793,"30",""
"64","Chicaza",-12.89,35.25,"Mozambique","",8293,"40",""
"65","Chicaza",-12.89,35.25,"Mozambique","",9163,"25",""
"66","Colwinton",-31.15,27.767,"South Africa","Grassland Biome",6270,"40","Wilton"
"67","Cymot Shelter",-21.917,14.783,"Namibia","Desert Biome",5740,"110",""
"68","Deurspring 16",-32.006,18.305,"South Africa","Fynbos Biome",4800,"60",""
"69","Deurspring 16",-32.006,18.305,"South Africa","Fynbos Biome",5390,"70",""
"70","Diamond Shelter",-28.492,28.948,"South Africa","Grassland Biome",4900,"60","Wilton"
"71","Diaz Street Midden",-33.009,17.94,"South Africa","Fynbos Biome",5690,"40",""
"72","Diaz Street Midden",-33.009,17.94,"South Africa","Fynbos Biome",5300,"40",""
"73","Dikbosch 1",-28.652,23.903,"South Africa","Savanna Biome",8010,"60","Wilton"
"74","Doorspring 1",-32,18.3,"South Africa","Fynbos Biome",5130,"50",""
"75","Doorspring 1",-32,18.3,"South Africa","Fynbos Biome",4090,"35",""
"76","Nyonyane",-27.3,31.9,"Swaziland","Grassland Biome",10970,"430","Oakhurst"
"77","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",10860,"180","Oakhurst"
"78","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",10840,"70","Oakhurst"
"79","Dune Field Midden",-32.301,18.348,"South Africa","Fynbos Biome",6135,"40","Wilton"
"80","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",8110,"90","Wilton"
"81","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",10700,"100","Oakhurst"
"82","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",11415,"80","Robberg"
"83","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",9800,"160",""
"84","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",10660,"100","Oakhurst"
"85","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",11370,"110","Robberg"
"86","Matjies River",-34.017,23.417,"South Africa","Azonal Vegetation",10660,"280","Oakhurst"
"87","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",10640,"110","Oakhurst"
"88","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",8000,"95",""
"89","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",8340,"80","Wilton"
"90","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",7910,"80","Wilton"
"91","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",10620,"100","Oakhurst"
"92","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",10600,"150","Oakhurst"
"93","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",9750,"100",""
"94","Elands Bay Cave",-32.317,18.318,"South Africa","Fynbos Biome",10560,"100","Oakhurst"
"95","Nelson Bay Cave",-34.101,23.378,"South Africa","Fynbos Biome",10540,"110","Oakhurst"
