"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated"
"1","Iron Pig Rock Shelter","Beta-477094",12300,40,"",-25.959,30.243,"charcoal"
"2","Pomongwe Cave","Pta-3118",12300,100,"",-20.533,28.5,""
"3","Heuningsneskrans","LJ-3150",12260,110,"Robberg",-24.6,30.65,""
"4","Drotsky's Cave","S-16591",12250,150,"Oakhurst",-20.333,21.417,""
"5","Sehonghong","Q-3175",12250,300,"Robberg",-29.75,28.75,""
"6","Sehonghong","Q-3176",12200,250,"Robberg",-29.75,28.75,""
"7","Txina-Txina","Wk-44420",12190,30,"",-23.893881,31.912163,"Snail"
"8","Sehonghong","Pta-6282",12180,110,"Robberg",-29.75,28.75,""
"9","Bushman Rock  Shelter","GrN-4815",12160,95,"",-24.583,30.633,"charcoal"
"10","Ntloana Tšoana","Pta-5236",12110,120,"Robberg",-29.317,27.817,"charcoal"
"11","Bushman Rock  Shelter","GrN-4814",12090,95,"Robberg",-24.583,30.633,"charcoal"
"12","Sehonghong","OxA-32926",12010,50,"Robberg",-29.75,28.75,"charcoal"
"13","Siphiso","TX-5783",11990,270,"Robberg",-26.3,31.967,"snail"
"14","Zebra River","Pta-1996",11900,90,"",-24.767,15.35,"charcoal"
"15","Shongweni South","Pta-682",11870,130,"Robberg",-29.85,30.717,""
"16","Waterfall Bluff","IT-C-2382",11860,56,"",-31.434,29.824,"charcoal"
"17","Waterfall Bluff","IT-C-2539",11855,56,"",-31.434,29.824,"charcoal"
"18","Blydefontein","OxA-8530",11850,150,"Robberg",-31.133,25.05,"sediments"
"19","Ntloana Tšoana","OxA-X-2460-49",11830,90,"Robberg",-29.317,27.817,"charcoal"
"20","Siphiso","TZ-5631",11820,300,"Robberg",-26.3,31.967,"snail"
"21","Florisbad","Pta-3643",11700,110,"",-28.767,26.067,""
"22","Waterfall Bluff","IT-C-2328",11687,63,"",-31.434,29.824,"charcoal"
"23","Waterfall Bluff","BETA-516054",11680,40,"",-31.434,29.824,"charcoal"
"24","Waterfall Bluff","IT-C-2390",11650,55,"",-31.434,29.824,"charcoal"
"25","Waterfall Bluff","IT-C-2569",11641,56,"",-31.434,29.824,"charcoal"
"26","Waterfall Bluff","IT-C-2327",11632,66,"",-31.434,29.824,"charcoal"
"27","Wonderwerk","Pta-3422",11350,100,"",-27.846,23.555,"plant remains"
"28","Uitkomst Cave","Y-1324",11250,200,"",-25.884,27.618,""
"29","Drotsky's Cave","Beta-50163",11240,60,"Oakhurst",-20.333,21.417,""
"30","Sehonghong","Pta-6065",11090,230,"Robberg",-29.75,28.75,""
"31","Balerno Main Shelter","Pta-8639",11040,90,"",-22.265,29.188,"eggshell"
"32","Nyonyane","TX-5637",10970,430,"Oakhurst",-27.3,31.9,"charcoal"
"33","Iron Pig Rock Shelter","Beta-522532",10850,30,"",-25.959,30.243,"charcoal"
"34","Equus Cave","Pta-4051/57",10800,270,"",-27.617,24.633,"bone"
"35","Sibudu Cave","Pta-8137",10490,110,"",-29.5,31.083,"charcoal"
"36","Heuningsneskrans","Pta-114",10430,150,"Oakhurst",-24.6,30.65,"charred bone"
"37","Kruger Cave","KRU-11",10430,150,"Robberg",-25.75,27.25,""
"38","Apollo 11 Cave","KN-I-611",10420,80,"Wilton",-27.75,17.1,"charcoal"
"39","Kruger Cave","KRU-10",10310,150,"Robberg",-25.75,27.25,""
"40","Ntloana Tšoana","Pta-5208 ",10200,100,"Oakhurst",-29.317,27.817,"charcoal"
"41","Ravenscraig","Pta-3451",10200,100,"Robberg",-31,27.783,"bone"
"42","Wonderwerk","Pta-2786",10200,90,"",-27.846,23.555,"charcoal"
"43","Ha Makotoko","OxA-27316",10190,45,"Oakhurst",-29.333,27.8,"charcoal"
"44","Kruger Cave","Pta-1272",10150,90,"Robberg",-25.75,27.25,"charcoal"
"45","Ha Makotoko","OxA-27314",10135,45,"Oakhurst",-29.333,27.8,"charcoal"
"46","Grassridge","CAMS-170783",10125,50,"Oakhurst",-31.567,26.85,"charcoal"
"47","Ha Makotoko","OxA-27315",10125,45,"Oakhurst",-29.333,27.8,"charcoal"
"48","Wonderwerk","Pta-6871",10120,100,"",-27.846,23.555,"charcoal"
"49","Wonderwerk","Pta-6872",10120,120,"",-27.846,23.555,"charcoal"
"50","Nyonyane","TX-5636",10080,430,"Oakhurst",-27.3,31.9,"charcoal"
"51","Wonderwerk","Pta-6884",10080,100,"",-27.846,23.555,"charcoal"
"52","Ha Makotoko","UGAMS-8986",10060,30,"Oakhurst",-29.333,27.8,"charcoal"
"53","Siphiso","TX-5782",10050,160,"Robberg",-26.3,31.967,"snail"
"54","Florisbad","Pta-1125",10000,100,"",-28.767,26.067,""
"55","Ravenscraig","Pta-3194",10000,80,"Robberg",-31,27.783,"charcoal"
"56","Sikhanyisweni","Pta-3780",10000,100,"",-28.467,30.383,"charcoal"
"57","Te Vrede","Pta-3203",10000,120,"Final MSA",-31.217,28.183,""
"58","Wonderwerk","Pta-2790",10000,70,"",-27.846,23.555,"charcoal"
"59","Ha Makotoko","Pta-5205",9970,90,"Oakhurst",-29.333,27.8,"charcoal"
"60","Bushman Rock  Shelter","GrN-4813",9940,80,"Oakhurst",-24.583,30.633,""
"61","Umhlatuzana","Pta-4631",9870,90,"Robberg",-29.8,30.75,"charcoal"
"62","Uitkomst Cave","BM-unknown",9844,200,"",-25.884,27.618,""
"63","Nswatugi Cave","Pta-1771",9790,90,"",-20.533,28.467,"charcoal"
"64","Heuningsneskrans","Pta-099",9780,85,"Oakhurst",-24.6,30.65,"charcoal"
"65","Kruger Cave","KRU-9",9780,110,"Oakhurst",-25.75,27.25,""
"66","Wonderwerk","Pta-2852",9760,120,"",-27.846,23.555,"charcoal"
"67","Sehonghong","Pta-6057",9740,140,"Oakhurst",-29.75,28.75,""
"68","Sikhanyisweni","Pta-3782",9700,100,"",-28.467,30.383,"charcoal"
"69","Waterfall Bluff","IT-C-2349",9691,50,"",-31.434,29.824,"charcoal"
"70","Ntloana Tšoana","Pta-5207 ",9690,120,"Oakhurst",-29.317,27.817,"charcoal"
"71","Waterfall Bluff","BETA-461584",9680,30,"",-31.434,29.824,"charcoal"
"72","Waterfall Bluff","IT-C-2329",9670,55,"",-31.434,29.824,"charcoal"
"73","Ntloana Tšoana","UGAMS-8979",9650,30,"Oakhurst",-29.317,27.817,"charcoal"
"74","Waterfall Bluff","IT-C-2532",9644,46,"",-31.434,29.824,"charcoal"
"75","Lion Cavern","Y-1713",9640,80,"",-26.2,31.033,"charcoal"
"76","Waterfall Bluff","BETA-442147",9640,30,"",-31.434,29.824,"charcoal"
"77","Waterfall Bluff","BETA-469052",9640,30,"",-31.434,29.824,"charcoal"
"78","Waterfall Bluff","IT-C-2556",9639,44,"",-31.434,29.824,"charcoal"
"79","Uitkomst Cave","Y-1323",9630,200,"",-25.884,27.618,"charcoal"
"80","Waterfall Bluff","IT-C-2321",9607,57,"",-31.434,29.824,"charcoal"
"81","Waterfall Bluff","IT-C-2385",9602,50,"",-31.434,29.824,"charcoal"
"82","Waterfall Bluff","IT-C-2533",9599,44,"",-31.434,29.824,"charcoal"
"83","Waterfall Bluff","IT-C-2560",9599,44,"",-31.434,29.824,"charcoal"
"84","Waterfall Bluff","IT-C-2322",9596,49,"",-31.434,29.824,"charcoal"
"85","Waterfall Bluff","IT-C-2348",9596,53,"",-31.434,29.824,"charcoal"
"86","Waterfall Bluff","IT-C-2388",9594,51,"",-31.434,29.824,"charcoal"
