"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated","Samp"
"1","Iron Pig Rock Shelter","Beta-477094",12300,40,"",-25.959,30.243,"charcoal",1
"2","Pomongwe Cave","Pta-3118",12300,100,"",-20.533,28.5,"",2
"3","Heuningsneskrans","LJ-3150",12260,110,"Robberg",-24.6,30.65,"",3
"4","Byneskranskop 1","OxA-32685",12250,55,"Oakhurst",-34.583,19.467,"bone",1
"5","Drotsky's Cave","S-16591",12250,150,"Oakhurst",-20.333,21.417,"",2
"6","Sehonghong","Q-3175",12250,300,"Robberg",-29.75,28.75,"",3
"7","Sehonghong","Q-3176",12200,250,"Robberg",-29.75,28.75,"",1
"8","Txina-Txina","Wk-44420",12190,30,"",-23.893881,31.912163,"Snail",2
"9","Sehonghong","Pta-6282",12180,110,"Robberg",-29.75,28.75,"",3
"10","Bushman Rock  Shelter","GrN-4815",12160,95,"",-24.583,30.633,"charcoal",1
"11","Nelson Bay Cave","OxA-32606",12155,55,"Robberg",-34.101,23.378,"bone",2
"12","Ntloana Tšoana","Pta-5236",12110,120,"Robberg",-29.317,27.817,"charcoal",3
"13","Bushman Rock  Shelter","GrN-4814",12090,95,"Robberg",-24.583,30.633,"charcoal",1
"14","Boomplaas","Pta-1828",12060,105,"Robberg",-33.383,22.183,"charcoal",2
"15","Sehonghong","OxA-32926",12010,50,"Robberg",-29.75,28.75,"charcoal",3
"16","Siphiso","TX-5783",11990,270,"Robberg",-26.3,31.967,"snail",1
"17","Nelson Bay Cave","UW-177",11950,150,"Oakhurst",-34.101,23.378,"charcoal",2
"18","Zebra River","Pta-1996",11900,90,"",-24.767,15.35,"charcoal",3
"19","Buffelskloof","Pta-1805",11875,115,"",-33.667,21.867,"",1
"20","Shongweni South","Pta-682",11870,130,"Robberg",-29.85,30.717,"",2
"21","Waterfall Bluff","IT-C-2382",11860,56,"",-31.434,29.824,"charcoal",3
"22","Waterfall Bluff","IT-C-2539",11855,56,"",-31.434,29.824,"charcoal",1
"23","Blydefontein","OxA-8530",11850,150,"Robberg",-31.133,25.05,"sediments",2
"24","Ntloana Tšoana","OxA-X-2460-49",11830,90,"Robberg",-29.317,27.817,"charcoal",3
"25","Siphiso","TZ-5631",11820,300,"Robberg",-26.3,31.967,"snail",1
"26","Klipfonteinrand","D-AMS-001836",11723,52,"Oakhurst",-32.067,20.167,"",2
"27","Florisbad","Pta-3643",11700,110,"",-28.767,26.067,"",3
"28","Waterfall Bluff","IT-C-2328",11687,63,"",-31.434,29.824,"charcoal",1
"29","Waterfall Bluff","BETA-516054",11680,40,"",-31.434,29.824,"charcoal",2
"30","Waterfall Bluff","IT-C-2390",11650,55,"",-31.434,29.824,"charcoal",3
"31","Waterfall Bluff","IT-C-2569",11641,56,"",-31.434,29.824,"charcoal",1
"32","Waterfall Bluff","IT-C-2327",11632,66,"",-31.434,29.824,"charcoal",2
"33","Faraoskop","Pta-4817",11550,120,"Robberg",-32.1253,18.6144,"charcoal",3
"34","Nelson Bay Cave","UW-162 ",11505,110,"Oakhurst",-34.101,23.378,"charcoal",1
"35","Elands Bay Cave","AA-5834",11415,80,"Robberg",-32.317,18.318,"",2
"36","Elands Bay Cave","Pta- 6756",11370,110,"Robberg",-32.317,18.318,"",3
"37","Wonderwerk","Pta-3422",11350,100,"",-27.846,23.555,"plant remains",1
"38","Matjies River","L-336H",11250,400,"Oakhurst",-34.017,23.417,"charcoal",2
"39","Uitkomst Cave","Y-1324",11250,200,"",-25.884,27.618,"",3
"40","Drotsky's Cave","Beta-50163",11240,60,"Oakhurst",-20.333,21.417,"",1
"41","Sehonghong","Pta-6065",11090,230,"Robberg",-29.75,28.75,"",2
"42","Nelson Bay Cave","I-6515",11080,260,"Oakhurst",-34.101,23.378,"charcoal",3
"43","Elands Bay Cave","UW-0192",11070,140,"Oakhurst",-32.317,18.318,"charcoal",1
"44","Balerno Main Shelter","Pta-8639",11040,90,"",-22.265,29.188,"eggshell",2
"45","Nyonyane","TX-5637",10970,430,"Oakhurst",-27.3,31.9,"charcoal",3
"46","Elands Bay Cave","OxA-478",10860,180,"Oakhurst",-32.317,18.318,"bone",1
"47","Iron Pig Rock Shelter","Beta-522532",10850,30,"",-25.959,30.243,"charcoal",2
"48","Elands Bay Cave","AA-5833",10840,70,"Oakhurst",-32.317,18.318,"",3
"49","Faraoskop","Pta-4816",10810,100,"",-32.1253,18.6144,"charcoal",1
"50","Equus Cave","Pta-4051/57",10800,270,"",-27.617,24.633,"bone",2
"51","Elands Bay Cave","Pta-0737",10700,100,"Oakhurst",-32.317,18.318,"",3
"52","Elands Bay Cave","Pta-5369",10660,100,"Oakhurst",-32.317,18.318,"",1
"53","Matjies River","Pta-6702",10660,280,"Oakhurst",-34.017,23.417,"charcoal",2
"54","Elands Bay Cave","Pta-0732",10640,110,"Oakhurst",-32.317,18.318,"",3
"55","Elands Bay Cave","Pta-6758",10620,100,"Oakhurst",-32.317,18.318,"",1
"56","Nelson Bay Cave","UW-218",10600,150,"Oakhurst",-34.101,23.378,"charcoal",2
"57","Elands Bay Cave","Pta-5361",10560,100,"Oakhurst",-32.317,18.318,"",3
"58","Nelson Bay Cave","UW-178",10540,110,"Oakhurst",-34.101,23.378,"sediments",1
"59","Boomplaas","OxA-33812",10505,45,"Robberg",-33.383,22.183,"charcoal",2
"60","Matjies River","L-336G",10500,400,"Oakhurst",-34.017,23.417,"charcoal",3
"61","Melkhoutboom","GaK-1538",10500,190,"Oakhurst",-33.317,25.283,"",1
"62","Sibudu Cave","Pta-8137",10490,110,"",-29.5,31.083,"charcoal",2
"63","Elands Bay Cave","Pta-5336",10460,80,"Oakhurst",-32.317,18.318,"",3
"64","Nelson Bay Cave","OxA-32457",10450,50,"Robberg",-34.101,23.378,"bone",1
"65","Boomplaas","AA-6958",10430,80,"Robberg",-33.383,22.183,"eggshell",2
"66","Heuningsneskrans","Pta-114",10430,150,"Oakhurst",-24.6,30.65,"charred bone",3
"67","Kruger Cave","KRU-11",10430,150,"Robberg",-25.75,27.25,"",1
"68","Boomplaas","UW-411",10425,125,"Oakhurst",-33.383,22.183,"",2
"69","Apollo 11 Cave","KN-I-611",10420,80,"Wilton",-27.75,17.1,"charcoal",3
"70","Nelson Bay Cave","OxA-32455",10340,50,"Oakhurst",-34.101,23.378,"bone",1
"71","Kruger Cave","KRU-10",10310,150,"Robberg",-25.75,27.25,"",2
"72","Nelson Bay Cave","Q-1085 ",10256,210,"Oakhurst",-34.101,23.378,"charcoal",3
"73","Matjies River","Pta-6951 ",10215,25,"Oakhurst",-34.017,23.417,"marine shell",1
"74","Ntloana Tšoana","Pta-5208 ",10200,100,"Oakhurst",-29.317,27.817,"charcoal",2
"75","Ravenscraig","Pta-3451",10200,100,"Robberg",-31,27.783,"bone",3
"76","Wonderwerk","Pta-2786",10200,90,"",-27.846,23.555,"charcoal",1
"77","Ha Makotoko","OxA-27316",10190,45,"Oakhurst",-29.333,27.8,"charcoal",2
"78","Nelson Bay Cave","UW-164 ",10180,85,"Oakhurst",-34.101,23.378,"charcoal",3
"79","Matjies River","Pta-6848",10155,30,"Oakhurst",-34.017,23.417,"marine shell",1
"80","Nelson Bay Cave","OxA-32454",10155,45,"Oakhurst",-34.101,23.378,"bone",2
"81","Nelson Bay Cave","Pta-392 ",10150,90,"Oakhurst",-34.101,23.378,"charcoal",3
"82","Kruger Cave","Pta-1272",10150,90,"Robberg",-25.75,27.25,"charcoal",1
"83","Ha Makotoko","OxA-27314",10135,45,"Oakhurst",-29.333,27.8,"charcoal",2
"84","Grassridge","CAMS-170783",10125,50,"Oakhurst",-31.567,26.85,"charcoal",3
"85","Ha Makotoko","OxA-27315",10125,45,"Oakhurst",-29.333,27.8,"charcoal",1
"86","Matjies River","Pta-6838 ",10120,40,"Oakhurst",-34.017,23.417,"charcoal",2
"87","Wonderwerk","Pta-6871",10120,100,"",-27.846,23.555,"charcoal",3
"88","Wonderwerk","Pta-6872",10120,120,"",-27.846,23.555,"charcoal",1
"89","Matjies River","UCLA-1746-C-2 ",10100,190,"Oakhurst",-34.017,23.417,"",2
"90","Elands Bay Cave","UW-0193",10090,65,"Oakhurst",-32.317,18.318,"charcoal",3
"91","Nyonyane","TX-5636",10080,430,"Oakhurst",-27.3,31.9,"charcoal",1
"92","Wonderwerk","Pta-6884",10080,100,"",-27.846,23.555,"charcoal",2
"93","Ha Makotoko","UGAMS-8986",10060,30,"Oakhurst",-29.333,27.8,"charcoal",3
"94","Matjies River","Pta-6925",10055,30,"Oakhurst",-34.017,23.417,"marine shell",1
"95","Siphiso","TX-5782",10050,160,"Robberg",-26.3,31.967,"snail",2
"96","N2005/1, Sesfontein","KIA-29629",10035,45,"",-19.083,13.35,"charcoal",3
"97","Byneskranskop 1","OxA-32684",10015,45,"Oakhurst",-34.583,19.467,"bone",1
"98","Florisbad","Pta-1125",10000,100,"",-28.767,26.067,"",2
"99","Elands Bay Cave","Pta-2481",10000,90,"Oakhurst",-32.317,18.318,"",3
"100","Ravenscraig","Pta-3194",10000,80,"Robberg",-31,27.783,"charcoal",1
"101","Sikhanyisweni","Pta-3780",10000,100,"",-28.467,30.383,"charcoal",2
"102","Te Vrede","Pta-3203",10000,120,"Final MSA",-31.217,28.183,"",3
"103","Wonderwerk","Pta-2790",10000,70,"",-27.846,23.555,"charcoal",1
"104","Ha Makotoko","Pta-5205",9970,90,"Oakhurst",-29.333,27.8,"charcoal",2
