"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated"
"1","Klipfonteinrand","D-AMS-001836",11723,52,"Oakhurst",-32.067,20.167,""
"2","Faraoskop","Pta-4817",11550,120,"Robberg",-32.1253,18.6144,"charcoal"
"3","Elands Bay Cave","AA-5834",11415,80,"Robberg",-32.317,18.318,""
"4","Elands Bay Cave","Pta- 6756",11370,110,"Robberg",-32.317,18.318,""
"5","Elands Bay Cave","UW-0192",11070,140,"Oakhurst",-32.317,18.318,"charcoal"
"6","Elands Bay Cave","OxA-478",10860,180,"Oakhurst",-32.317,18.318,"bone"
"7","Elands Bay Cave","AA-5833",10840,70,"Oakhurst",-32.317,18.318,""
"8","Faraoskop","Pta-4816",10810,100,"",-32.1253,18.6144,"charcoal"
"9","Elands Bay Cave","Pta-0737",10700,100,"Oakhurst",-32.317,18.318,""
"10","Elands Bay Cave","Pta-5369",10660,100,"Oakhurst",-32.317,18.318,""
"11","Elands Bay Cave","Pta-0732",10640,110,"Oakhurst",-32.317,18.318,""
"12","Elands Bay Cave","Pta-6758",10620,100,"Oakhurst",-32.317,18.318,""
"13","Elands Bay Cave","Pta-5361",10560,100,"Oakhurst",-32.317,18.318,""
"14","Elands Bay Cave","Pta-5336",10460,80,"Oakhurst",-32.317,18.318,""
"15","Elands Bay Cave","UW-0193",10090,65,"Oakhurst",-32.317,18.318,"charcoal"
"16","N2005/1, Sesfontein","KIA-29629",10035,45,"",-19.083,13.35,"charcoal"
"17","Elands Bay Cave","Pta-2481",10000,90,"Oakhurst",-32.317,18.318,""
"18","Elands Bay Cave","Pta-2592",9950,270,"Oakhurst",-32.317,18.318,"marine other"
"19","Elands Bay Cave","OxA-456",9800,160,"",-32.317,18.318,"bone"
"20","Elands Bay Cave","Pta-3086",9750,100,"",-32.317,18.318,"bone"
"21","Elands Bay Cave","Pta-5306",9640,90,"Oakhurst",-32.317,18.318,""
"22","Elands Bay Cave","Pta-686",9600,90,"Oakhurst",-32.317,18.318,""
"23","Aspoort Cave","Pta-2250",9420,160,"",-32.5,19.519,"charcoal"
"24","N2005/2, Sesfontein","KIA-29631",8890,30,"",-19.05,13.533,"charcoal"
"25","Elands Bay Cave","Pta-5305",8860,90,"Oakhurst",-32.317,18.318,""
"26","Mirabib Hill Shelter","Pta-1368",8410,80,"",-23.463,15.325,"charcoal"
"27","Steenbokfontein","Pta-7327",8370,80,"Wilton",-32.162,18.333,"charcoal"
"28","Elands Bay Cave","Pta-1871",8340,80,"Wilton",-32.317,18.318,""
"29","Namtib","KN-2143",8230,70,"",-26.033,16.25,"charcoal"
"30","Mirabib Hill Shelter","Pta-1013",8200,80,"",-23.463,15.325,"charcoal"
"31","Elands Bay Cave","AA-5832",8110,90,"Wilton",-32.317,18.318,"eggshell"
"32","Elands Bay Cave","Pta-1829",8000,95,"",-32.317,18.318,"bone"
"33","Steenbokfontein","Pta-7326",7950,80,"Wilton",-32.162,18.333,"charcoal"
"34","Elands Bay Cave","Pta-1872",7910,80,"Wilton",-32.317,18.318,""
"35","Namtib","Pta-1185",7840,90,"Wilton",-26.033,16.25,"charcoal"
"36","Tortoise Cave","Pta-3596",7700,70,"Wilton",-32.341,18.399,"marine shell"
"37","Namtib","KN-2142",7560,75,"",-26.033,16.25,"charcoal"
"38","Montagu Cave","GrN-4725",7100,45,"",-33.833,20.167,"charcoal"
"39","Tortoise Cave","Pta-5479",6910,80,"Wilton",-32.341,18.399,"marine shell"
"40","Aspoort Cave","Pta-2422",6850,145,"",-32.5,19.519,"charcoal"
"41","Cha-re Shelter","Pta-2077",6840,70,"",-23.65,15.917,"charcoal"
