"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated"
"1","Byneskranskop 1","OxA-32685",12250,55,"Oakhurst",-34.583,19.467,"bone"
"2","Nelson Bay Cave","OxA-32606",12155,55,"Robberg",-34.101,23.378,"bone"
"3","Boomplaas","Pta-1828",12060,105,"Robberg",-33.383,22.183,"charcoal"
"4","Nelson Bay Cave","UW-177",11950,150,"Oakhurst",-34.101,23.378,"charcoal"
"5","Buffelskloof","Pta-1805",11875,115,"",-33.667,21.867,""
"6","Nelson Bay Cave","UW-162 ",11505,110,"Oakhurst",-34.101,23.378,"charcoal"
"7","Matjies River","L-336H",11250,400,"Oakhurst",-34.017,23.417,"charcoal"
"8","Nelson Bay Cave","I-6515",11080,260,"Oakhurst",-34.101,23.378,"charcoal"
"9","Matjies River","Pta-6702",10660,280,"Oakhurst",-34.017,23.417,"charcoal"
"10","Nelson Bay Cave","UW-218",10600,150,"Oakhurst",-34.101,23.378,"charcoal"
"11","Nelson Bay Cave","UW-178",10540,110,"Oakhurst",-34.101,23.378,"sediments"
"12","Boomplaas","OxA-33812",10505,45,"Robberg",-33.383,22.183,"charcoal"
"13","Matjies River","L-336G",10500,400,"Oakhurst",-34.017,23.417,"charcoal"
"14","Melkhoutboom","GaK-1538",10500,190,"Oakhurst",-33.317,25.283,""
"15","Nelson Bay Cave","OxA-32457",10450,50,"Robberg",-34.101,23.378,"bone"
"16","Boomplaas","AA-6958",10430,80,"Robberg",-33.383,22.183,"eggshell"
"17","Boomplaas","UW-411",10425,125,"Oakhurst",-33.383,22.183,""
"18","Nelson Bay Cave","OxA-32455",10340,50,"Oakhurst",-34.101,23.378,"bone"
"19","Nelson Bay Cave","Q-1085 ",10256,210,"Oakhurst",-34.101,23.378,"charcoal"
"20","Matjies River","Pta-6951 ",10215,25,"Oakhurst",-34.017,23.417,"marine shell"
"21","Nelson Bay Cave","UW-164 ",10180,85,"Oakhurst",-34.101,23.378,"charcoal"
"22","Matjies River","Pta-6848",10155,30,"Oakhurst",-34.017,23.417,"marine shell"
"23","Nelson Bay Cave","OxA-32454",10155,45,"Oakhurst",-34.101,23.378,"bone"
"24","Nelson Bay Cave","Pta-392 ",10150,90,"Oakhurst",-34.101,23.378,"charcoal"
"25","Matjies River","Pta-6838 ",10120,40,"Oakhurst",-34.017,23.417,"charcoal"
