"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated"
"1","Pomongwe Cave","SR-13",7690,140,"",-20.533,28.5,"other"
"2","Belleview","Pta-359",7670,50,"",-29.999,29.058,"charcoal"
"3","Good Hope Shelter","Pta-1480 ",7670,55,"Wilton",-29.656,29.427,"charcoal"
"4","Rose Cottage Cave","Pta-6783",7630,80,"Wilton",-29.25,27.5,"charcoal"
"5","Pomongwe Cave","SR-14",7610,110,"",-20.533,28.5,"charcoal"
"6","Siphiso","Pta-3533",7600,80,"Oakhurst",-26.3,31.967,"bone"
"7","Waterfall Bluff","IT-C-2324",7556,41,"",-31.434,29.824,"charcoal"
"8","Waterfall Bluff","BETA-442149",7550,30,"",-31.434,29.824,"charcoal"
"9","Waterfall Bluff","IT-C-2323",7514,52,"",-31.434,29.824,"charcoal"
"10","Kruger Cave","KRU-6",7500,60,"Oakhurst",-25.75,27.25,""
"11","Equus Cave","Pta-2495",7480,80,"",-27.617,24.633,"eggshell"
"12","Little Witkrans","Pta-2490",7470,70,"",-27.661,24.613,"charcoal"
"13","Maqonqo Shelter","Pta-6260 ",7460,140,"Wilton",-28.344,30.424,"charcoal"
"14","Wonderwerk","Pta-2798",7430,60,"",-27.846,23.555,"charcoal"
"15","Waterfall Bluff","BETA-442148",7380,30,"",-31.434,29.824,"charcoal"
"16","Balerno Main Shelter","Pta-8591",7350,80,"",-22.265,29.188,"eggshell"
"17","Waterfall Bluff","IT-C-2326",7349,49,"",-31.434,29.824,"charcoal"
"18","Siphiso","TX-5627",7300,100,"Wilton",-26.3,31.967,"snail"
"19","Apollo 11 Cave","Pta-1020",7280,80,"Wilton",-27.75,17.1,"charcoal"
"20","Waterfall Bluff","IT-C-2325",7261,40,"",-31.434,29.824,"charcoal"
"21","Liphofung","Pta-6113",7230,140,"",-28.753,28.496,"bone"
"22","Tloutle","Pta-5171",7230,80,"Wilton",-29.467,27.767,"charcoal"
"23","Sehonghong","Pta-6072 ",7210,80,"Oakhurst",-29.75,28.75,""
"24","Apollo 11 Cave","KN-I-867",7200,75,"Wilton",-27.75,17.1,"charcoal"
"25","Heuningsneskrans","Pta-112",7200,70,"Oakhurst",-24.6,30.65,"charred bone"
"26","Sehonghong","Pta-6278 ",7150,80,"Oakhurst",-29.75,28.75,""
"27","Sehonghong","Pta-6280 ",7090,80,"Oakhurst",-29.75,28.75,""
"28","Sehonghong","Pta-6083 ",7010,70,"Oakhurst",-29.75,28.75,""
"29","Pockenbank","KN-I.624",6910,45,"",-27.217,16.517,"charcoal"
"30","Tloutle","Pta-5162 ",6910,80,"Wilton",-29.467,27.767,"charcoal"
"31","Grassridge","Pta-2719",6890,80,"",-31.567,26.85,""
"32","Sehonghong","Q-3174 ",6870,60,"Wilton",-29.75,28.75,""
"33","Siphiso","TX-5626",6860,110,"Wilton",-26.3,31.967,"snail"
"34","Grassridge","Pta-2949",6850,100,"",-31.567,26.85,""
"35","Rose Cottage Cave","GrN-5299",6850,45,"Wilton",-29.25,27.5,"charcoal"
"36","White Paintings Shelter","UGA-6728",6840,40,"",-18.75,21.75,"eggshell"
"37","Wonderwerk","Pta-3425",6840,80,"",-27.846,23.555,"charcoal"
"38","Chicaza","Wk-40714",6793,30,"",-12.89,35.25,"bone"
"39","Txina-Txina","Wk-44419",6791,20,"",-23.893881,31.912163,"Eggshell"
"40","Kruger Cave","KRU-5",6760,100,"Oakhurst",-25.75,27.25,""
"41","Cauldwell Shelter","Pta-371",6750,70,"",-26.333,31.167,"charcoal"
"42","Tshisiku Shelter","Pta-8709",6750,60,"Wilton",-22.233,29.148,""
"43","Cave James","Wits-1747",6740,270,"",-25.683,27.983,""
"44","Kruger Cave","KRU-4",6690,100,"Oakhurst",-25.75,27.25,""
"45","Siphiso","TX-5623",6680,160,"Wilton",-26.3,31.967,"eggshell"
"46","Siphiso","TX-5625",6670,90,"Wilton",-26.3,31.967,"eggshell"
"47","Nkupe Shelter","Pta-3455",6650,80,"Wilton",-28.147,29.937,"charcoal"
"48","Kruger Cave","KRU-3",6620,120,"Oakhurst",-25.75,27.25,""
"49","Kruger Cave","KRU-2",6600,110,"Oakhurst",-25.75,27.25,""
"50","Mgede Shelter","Pta-3508",6550,70,"Wilton",-28.17,29.687,"charcoal"
"51","Siphiso","TX-5624",6540,100,"Wilton",-26.3,31.967,"snail"
"52","Jubilee Shelter","Wits-1462",6490,200,"Wilton",-25.683,27.983,"charcoal"
"53","Nswatugi Cave","Pta-1768",6490,70,"",-20.533,28.467,"charcoal"
"54","Apollo 11 Cave","Pta-1019",6480,80,"Wilton",-27.75,17.1,"charcoal"
"55","Grassridge","Beta-532051",6470,30,"Wilton",-31.567,26.85,"charcoal"
"56","Groot Kommandokloof Shelter","Pta-4612",6430,70,"",-33.4,24.07,"other"
"57","Grassridge","Beta-532052",6360,30,"Wilton",-31.567,26.85,"charcoal"
"58","Grassridge","UCI-209045",6355,25,"Wilton",-31.567,26.85,"charcoal"
"59","Voigtspost 1","Pta-1530",6350,70,"Oakhurst",-29.117,25.433,"eggshell"
"60","Grassridge","Pta-2952",6300,60,"",-31.567,26.85,""
"61","Maqonqo Shelter","Pta-6258 ",6300,80,"Wilton",-28.344,30.424,"charcoal"
"62","Uniondale","Pta-4334",6300,200,"Wilton",-33.15,26.383,""
"63","Grassridge","Pta-2713",6280,70,"",-31.567,26.85,""
"64","Colwinton","Pta-2550",6270,40,"Wilton",-31.15,27.767,"charcoal"
"65","Apollo 11 Cave","KN-I-609",6200,65,"Wilton",-27.75,17.1,"charcoal"
"66","Grassridge","CAMS-170784",6200,35,"Wilton",-31.567,26.85,"charcoal"
"67","Rooikrans","Wits-2003",6150,100,"Wilton",-27.033,27.367,"bone"
"68","Tloutle","Pta-5158 ",6140,100,"Wilton",-29.467,27.767,"charcoal"
"69","Cave James","Wits-1744 ",6130,110,"Wilton",-25.683,27.983,""
