"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated","Samp"
"1","Kruger Cave","KRU-5",6760,100,"Oakhurst",-25.75,27.25,"",1
"2","Cauldwell Shelter","Pta-371",6750,70,"",-26.333,31.167,"charcoal",2
"3","Tshisiku Shelter","Pta-8709",6750,60,"Wilton",-22.233,29.148,"",3
"4","Blombosfontein 2","Pta-6181",6740,70,"Wilton",-34.4,21.217,"marine shell",1
"5","Cave James","Wits-1747",6740,270,"",-25.683,27.983,"",2
"6","Matjies River","Pta-6811 ",6720,25,"Wilton",-34.017,23.417,"charcoal",3
"7","Kruger Cave","KRU-4",6690,100,"Oakhurst",-25.75,27.25,"",1
"8","Siphiso","TX-5623",6680,160,"Wilton",-26.3,31.967,"eggshell",2
"9","Siphiso","TX-5625",6670,90,"Wilton",-26.3,31.967,"eggshell",3
"10","Nkupe Shelter","Pta-3455",6650,80,"Wilton",-28.147,29.937,"charcoal",1
"11","Kruger Cave","KRU-3",6620,120,"Oakhurst",-25.75,27.25,"",2
"12","Havens Cave","Pta-3919",6610,90,"Wilton",-33.667,24.35,"",3
"13","Kangkara Cave","Pta-2287 ",6600,75,"Wilton",-33.783,23.083,"bone",1
"14","Kruger Cave","KRU-2",6600,110,"Oakhurst",-25.75,27.25,"",2
"15","Mgede Shelter","Pta-3508",6550,70,"Wilton",-28.17,29.687,"charcoal",3
"16","Byneskranskop 1","Pta-1905 ",6540,55,"Wilton",-34.583,19.467,"",1
"17","Siphiso","TX-5624",6540,100,"Wilton",-26.3,31.967,"snail",2
"18","Tsisab Schlucht","Pta-1547",6510,80,"",-21.1,14.683,"charcoal",3
"19","Mirabib Hill Shelter","Pta-1536",6500,80,"",-23.463,15.325,"charcoal",1
"20","Jubilee Shelter","Wits-1462",6490,200,"Wilton",-25.683,27.983,"charcoal",2
"21","Nswatugi Cave","Pta-1768",6490,70,"",-20.533,28.467,"charcoal",3
"22","Apollo 11 Cave","Pta-1019",6480,80,"Wilton",-27.75,17.1,"charcoal",1
"23","Grassridge","Beta-532051",6470,30,"Wilton",-31.567,26.85,"charcoal",2
"24","Mirabib Hill Shelter","Pta-1012",6470,80,"",-23.463,15.325,"charcoal",3
"25","Groot Kommandokloof Shelter","Pta-4612",6430,70,"",-33.4,24.07,"other",1
"26","Boomplaas","UW-306",6400,75,"Wilton",-33.383,22.183,"",2
"27","Byneskranskop 1","Pta-1772 ",6370,90,"Wilton",-34.583,19.467,"",3
"28","Grassridge","Beta-532052",6360,30,"Wilton",-31.567,26.85,"charcoal",1
"29","Grassridge","UCI-209045",6355,25,"Wilton",-31.567,26.85,"charcoal",2
"30","Voigtspost 1","Pta-1530",6350,70,"Oakhurst",-29.117,25.433,"eggshell",3
"31","Mirabib Hill Shelter","Pta-1347",6330,60,"",-23.463,15.325,"charcoal",1
"32","Grassridge","Pta-2952",6300,60,"",-31.567,26.85,"",2
"33","Maqonqo Shelter","Pta-6258 ",6300,80,"Wilton",-28.344,30.424,"charcoal",3
"34","Uniondale","Pta-4334",6300,200,"Wilton",-33.15,26.383,"",1
"35","Grassridge","Pta-2713",6280,70,"",-31.567,26.85,"",2
"36","Colwinton","Pta-2550",6270,40,"Wilton",-31.15,27.767,"charcoal",3
"37","Apollo 11 Cave","KN-I-609",6200,65,"Wilton",-27.75,17.1,"charcoal",1
"38","Grassridge","CAMS-170784",6200,35,"Wilton",-31.567,26.85,"charcoal",2
"39","Havens Cave","Pta-3917 ",6190,80,"Wilton",-33.667,24.35,"",3
"40","Oakhurst","Pta-3178",6180,70,"",-33.933,22.617,"bone",1
"41","Rooikrans","Wits-2003",6150,100,"Wilton",-27.033,27.367,"bone",2
"42","Tloutle","Pta-5158 ",6140,100,"Wilton",-29.467,27.767,"charcoal",3
"43","Dune Field Midden","CAMS-113296",6135,40,"Wilton",-32.301,18.348,"eggshell",1
"44","Cave James","Wits-1744 ",6130,110,"Wilton",-25.683,27.983,"",2
"45","Byneskranskop 1","UW-409 ",6100,140,"Wilton",-34.583,19.467,"",3
"46","Grassridge","UCI-209044",6100,15,"Wilton",-31.567,26.85,"charcoal",1
"47","Grassridge","Pta-2970",6090,80,"",-31.567,26.85,"",2
"48","Grassridge","UCI-209043",6085,15,"Wilton",-31.567,26.85,"charcoal",3
"49","Nelson Bay Cave","UW-222",6070,125,"Wilton",-34.101,23.378,"charcoal",1
"50","Steenbokfontein","Pta-6808",6070,80,"Wilton",-32.162,18.333,"charcoal",2
"51","Nelson Bay Cave","UW-186 ",6050,80,"Wilton",-34.101,23.378,"sediments",3
"52","Byneskranskop 1","OxA-32682",6048,33,"Wilton",-34.583,19.467,"bone",1
"53","Grassridge","UCI-209042",6040,15,"Wilton",-31.567,26.85,"charcoal",2
"54","Nelson Bay Cave","UW-176 ",6020,160,"Wilton",-34.101,23.378,"charcoal",3
"55","Grassridge","UCI-209041",6015,15,"Wilton",-31.567,26.85,"charcoal",1
"56","Oakhurst","Pta-4426",5990,70,"",-33.933,22.617,"bone",2
"57","Rose Cottage Cave","Pta-5934 ",5970,70,"Wilton",-29.25,27.5,"charcoal",3
"58","Wonderwerk","Pta-2545",5970,70,"",-27.846,23.555,"charcoal",1
"59","Blombosfontein 3","Pta-6180",5960,70,"Wilton",-34.4,21.217,"marine shell",2
"60","Sehonghong","Pta-6154",5950,70,"Wilton",-29.75,28.75,"",3
"61","Wonderwerk","Pta-2140",5930,50,"",-27.846,23.555,"eggshell",1
"62","Wonderwerk","OxA-30642",5915,34,"",-27.846,23.555,"charcoal ",2
"63","Ballito Bay","Pta-5794",5900,110,"",-29.52,31.229,"bone",3
