"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated"
"1","Tortoise Cave","Pta-3596",7700,70,"Wilton",-32.341,18.399,"marine shell"
"2","Namtib","KN-2142",7560,75,"",-26.033,16.25,"charcoal"
"3","Montagu Cave","GrN-4725",7100,45,"",-33.833,20.167,"charcoal"
"4","Tortoise Cave","Pta-5479",6910,80,"Wilton",-32.341,18.399,"marine shell"
"5","Aspoort Cave","Pta-2422",6850,145,"",-32.5,19.519,"charcoal"
"6","Cha-re Shelter","Pta-2077",6840,70,"",-23.65,15.917,"charcoal"
"7","Tsisab Schlucht","Pta-1547",6510,80,"",-21.1,14.683,"charcoal"
"8","Mirabib Hill Shelter","Pta-1536",6500,80,"",-23.463,15.325,"charcoal"
"9","Mirabib Hill Shelter","Pta-1012",6470,80,"",-23.463,15.325,"charcoal"
"10","Mirabib Hill Shelter","Pta-1347",6330,60,"",-23.463,15.325,"charcoal"
"11","Dune Field Midden","CAMS-113296",6135,40,"Wilton",-32.301,18.348,"eggshell"
"12","Steenbokfontein","Pta-6808",6070,80,"Wilton",-32.162,18.333,"charcoal"
"13","Cha-re Shelter","Pta-2075",5740,60,"",-23.65,15.917,"charcoal"
"14","Cymot Shelter","SR-88",5740,110,"",-21.917,14.783,"charcoal"
"15","Diaz Street Midden","UGAMS-2805",5690,40,"",-33.009,17.94,"marine shell"
"16","Mirabib Hill Shelter","Pta-1348",5570,50,"",-23.463,15.325,"charcoal"
"17","N2005/1, Sesfontein","KIA-29629-2",5550,30,"",-19.083,13.35,"charcoal"
"18","Tortoise Cave","Pta-5981",5530,30,"Wilton",-32.341,18.399,"marine shell"
"19","Buzz Shelter","AA-89912",5452,54,"",-31.524,18.6,"bone"
"20","Namtib","Pta-1186",5400,70,"",-26.033,16.25,"charcoal"
"21","Deurspring 16","Pta-7132",5390,70,"",-32.006,18.305,"marine shell"
"22","Mitchell's Bay 2005/005B","GX-32526",5390,70,"",-30.468,17.36,""
"23","Diaz Street Midden","UGAMS-2806",5300,40,"",-33.009,17.94,"marine shell"
"24","Aspoort Cave","Pta-2179",5220,60,"",-32.5,19.519,"charcoal"
"25","Mirabib Hill Shelter","Pta-1011",5190,80,"",-23.463,15.325,"charcoal"
"26","Doorspring 1","Pta-6740",5130,50,"",-32,18.3,"marine shell"
"27","Jakkalsberg N","GX-32755",4960,40,"Wilton",-28.181,16.885,"marine shell"
"28","Jakkalsberg N","GX-32754",4860,40,"Wilton",-28.181,16.885,"eggshell"
"29","Numas Schlucht Cave (Lower Numas Cave)","Pta-1620",4840,50,"Wilton",-21.117,14.417,"eggshell"
"30","Deurspring 16","Pta-7131",4800,60,"",-32.006,18.305,"marine shell"
"31","Bonteberg Shelter","SR-167",4690,100,"",-34.2,18.383,"marine shell"
"32","Koingnaas 2001/008C","Pta-9316",4630,70,"",-30.222,17.238,"marine shell"
"33","Steenbokfontein","Pta-7323",4620,70,"Wilton",-32.162,18.333,"charcoal"
"34","Buzz Shelter","AA-89911",4551,54,"",-31.524,18.6,"bone"
