"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated"
"1","Byneskranskop 1","Pta-2347 ",7750,90,"Wilton",-34.583,19.467,""
"2","Matjies River","L-336E",7750,300,"Wilton",-34.017,23.417,"charcoal"
"3","Matjies River","Pta-6831 ",7685,30,"Oakhurst",-34.017,23.417,"marine shell"
"4","Melkhoutboom","Pta-666 ",7660,80,"Oakhurst",-33.317,25.283,""
"5","Buffelskloof","Pta-1841",7460,65,"Wilton",-33.667,21.867,""
"6","Matjies River","Pta-6988",7420,80,"Wilton",-34.017,23.417,""
"7","Matjies River","Pta-6823 ",7400,30,"Oakhurst",-34.017,23.417,"charcoal"
"8","Kangkara Cave","Pta-2812 ",7330,100,"Oakhurst",-33.783,23.083,"bone"
"9","Buffelskloof","UW-340",7300,120,"Wilton",-33.667,21.867,""
"10","Melkhoutboom","UW-234",7300,80,"Wilton",-33.317,25.283,""
"11","Matjies River","OxA-V-2064-52 ",7295,32,"Wilton",-34.017,23.417,""
"12","Oakhurst","Pta-4354",7120,60,"",-33.933,22.617,"bone"
"13","Matjies River","Pta-6817 ",7075,25,"Wilton",-34.017,23.417,"marine shell"
"14","Matjies River","GrN-5887",7050,45,"Wilton",-34.017,23.417,"marine shell"
"15","Matjies River","Pta-6691 ",7010,80,"Wilton",-34.017,23.417,"charcoal"
"16","Melkhoutboom","Pta-668 ",6980,65,"Wilton",-33.317,25.283,""
"17","Blombosfontein 1","Pta-6177",6960,70,"Wilton",-34.4,21.217,"marine shell"
"18","Blombosfontein 2","Pta-6181",6740,70,"Wilton",-34.4,21.217,"marine shell"
"19","Matjies River","Pta-6811 ",6720,25,"Wilton",-34.017,23.417,"charcoal"
"20","Havens Cave","Pta-3919",6610,90,"Wilton",-33.667,24.35,""
"21","Kangkara Cave","Pta-2287 ",6600,75,"Wilton",-33.783,23.083,"bone"
"22","Byneskranskop 1","Pta-1905 ",6540,55,"Wilton",-34.583,19.467,""
"23","Boomplaas","UW-306",6400,75,"Wilton",-33.383,22.183,""
"24","Byneskranskop 1","Pta-1772 ",6370,90,"Wilton",-34.583,19.467,""
"25","Havens Cave","Pta-3917 ",6190,80,"Wilton",-33.667,24.35,""
"26","Oakhurst","Pta-3178",6180,70,"",-33.933,22.617,"bone"
"27","Byneskranskop 1","UW-409 ",6100,140,"Wilton",-34.583,19.467,""
"28","Nelson Bay Cave","UW-222",6070,125,"Wilton",-34.101,23.378,"charcoal"
"29","Nelson Bay Cave","UW-186 ",6050,80,"Wilton",-34.101,23.378,"sediments"
"30","Byneskranskop 1","OxA-32682",6048,33,"Wilton",-34.583,19.467,"bone"
"31","Nelson Bay Cave","UW-176 ",6020,160,"Wilton",-34.101,23.378,"charcoal"
"32","Oakhurst","Pta-4426",5990,70,"",-33.933,22.617,"bone"
"33","Blombosfontein 3","Pta-6180",5960,70,"Wilton",-34.4,21.217,"marine shell"
"34","Melkhoutboom","Pta-680 ",5900,90,"Wilton",-33.317,25.283,""
"35","Nelson Bay Cave","Pta-2909 ",5890,70,"Wilton",-34.101,23.378,"charcoal"
"36","Byneskranskop 1","OxA-32683",5872,33,"Oakhurst",-34.583,19.467,"bone"
"37","Nelson Bay Cave","Pta-2915 ",5860,70,"Wilton",-34.101,23.378,"charcoal"
"38","Nelson Bay Cave","UW-216 ",5830,115,"Wilton",-34.101,23.378,"charcoal"
"39","Nelson Bay Cave","UW-187 ",5825,150,"Wilton",-34.101,23.378,"sediments"
"40","Havens Cave","Pta-3915",5820,80,"Oakhurst",-33.667,24.35,""
"41","Kabeljous River Shelter","Pta-4061",5750,80,"Wilton",-33.967,24.917,""
"42","Matjies River","Pta-6917 ",5720,70,"Wilton",-34.017,23.417,"marine shell"
"43","Byneskranskop 1","OxA-32679",5684,32,"Wilton",-34.583,19.467,"bone"
"44","Blombosfontein 4","Pta-6176",5680,70,"Wilton",-34.4,21.217,"marine shell"
"45","Byneskranskop 1","OxA-32681",5589,34,"Wilton",-34.583,19.467,"bone"
"46","Blombosfontein 5","Pta-6182 ",5520,70,"Wilton",-34.4,21.217,"marine shell"
"47","Oakhurst","Pta-4367",5450,70,"",-33.933,22.617,"bone"
"48","Byneskranskop 1","OxA-32678",5428,33,"Wilton",-34.583,19.467,"bone"
"49","Matjies River","L-336F",5400,250,"Wilton",-34.017,23.417,""
"50","Matjies River","Pta-6975 ",5390,70,"Wilton",-34.017,23.417,""
"51","Matjies River","Pta-6976 ",5370,70,"Wilton",-34.017,23.417,""
"52","Kangkara Cave","Pta-2286 ",5355,55,"Wilton",-33.783,23.083,"bone"
"53","Oakhurst","Pta-3719",5330,60,"",-33.933,22.617,"bone"
"54","Nelson Bay Cave","Pta-2933 ",5320,220,"Wilton",-34.101,23.378,"charcoal"
"55","Matjies River","UCLA-1746-C-1 ",5310,60,"Wilton",-34.017,23.417,""
"56","Byneskranskop 1","OxA-32680",5263,33,"Wilton",-34.583,19.467,"bone"
"57","Buffelskloof","Pta-1481",5120,65,"Wilton",-33.667,21.867,""
"58","Oakhurst","AA-2117",4995,215,"",-33.933,22.617,"bone"
"59","Nelson Bay Cave","OxA-32448",4968,31,"Wilton",-34.101,23.378,"bone"
"60","Oakhurst","Pta-4467",4900,60,"",-33.933,22.617,"bone"
"61","Oakhurst","Pta-4347",4880,70,"",-33.933,22.617,"bone"
"62","Oakhurst","Pta-4348",4880,70,"",-33.933,22.617,"bone"
"63","Oakhurst","AA-2119",4870,210,"",-33.933,22.617,"bone"
"64","Nelson Bay Cave","OxA-32449",4860,45,"Wilton",-34.101,23.378,"bone"
"65","Nelson Bay Cave","UW-217 ",4860,65,"Wilton",-34.101,23.378,"Marine shell"
"66","Wilton Large Rock Shelter","I-2565",4860,115,"Wilton",-33.325,26.142,"charcoal"
"67","Oakhurst","AA-2115",4830,250,"",-33.933,22.617,"bone"
"68","Byneskranskop 3","TO-9531",4820,90,"",-34.583,19.467,"bone"
"69","Matjies River","Pta-6856 ",4740,50,"Wilton",-34.017,23.417,"charcoal"
"70","Matjies River","Pta-6920",4665,20,"Wilton",-34.017,23.417,"marine shell"
"71","Matjies River","Pta-6877 ",4615,20,"Wilton",-34.017,23.417,"marine shell"
"72","Oakhurst","Pta-4449",4530,70,"",-33.933,22.617,"bone"
"73","St Francis Bay","Pta-7550",4160,60,"Final LSA",-34.117,24.767,""
"74","Oakhurst","Pta-4431",4100,60,"",-33.933,22.617,"bone"
"75","Blombosfontein 6","Pta-6178",4070,60,"Wilton",-34.4,21.217,"marine shell"
"76","Byneskranskop 1","Pta-1571 ",3900,60,"Wilton",-34.583,19.467,""
"77","Buffelskloof","UW-341",3840,80,"Wilton",-33.667,21.867,""
"78","Blombosfontein 6","Pta-6709",3630,70,"Wilton",-34.4,21.217,"marine shell"
"79","Byneskranskop 1","OxA-32677",3599,28,"Wilton",-34.583,19.467,"bone"
"80","Matjies River","GrN-5888",3555,35,"Wilton",-34.017,23.417,"marine shell"
"81","Oakhurst","Pta-520 ",3450,55,"Wilton",-33.933,22.617,"charcoal"
"82","Byneskranskop 1","Pta-1569",3400,55,"Final LSA",-34.583,19.467,""
"83","Nelson Bay Cave","Pta-3097",3270,70,"Final LSA",-34.101,23.378,"charcoal"
"84","Byneskranskop 3","Pta-2969",3190,50,"",-34.583,19.467,"bone"
"85","Nelson Bay Cave","Pta-3095",3190,60,"Final LSA",-34.101,23.378,"charcoal"
"86","Blombosfontein 7","Pta-6183",3170,25,"Final LSA",-34.4,21.217,"marine shell"
