"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated"
"1","Drotsky's Cave","S-16591",12250,150,"Oakhurst",-20.333,21.417,""
"2","Drotsky's Cave","Beta-50163",11240,60,"Oakhurst",-20.333,21.417,""
"3","Nyonyane","TX-5637",10970,430,"Oakhurst",-27.3,31.9,"charcoal"
"4","Heuningsneskrans","Pta-114",10430,150,"Oakhurst",-24.6,30.65,"charred bone"
"5","Ntloana Tšoana","Pta-5208 ",10200,100,"Oakhurst",-29.317,27.817,"charcoal"
"6","Ha Makotoko","OxA-27316",10190,45,"Oakhurst",-29.333,27.8,"charcoal"
"7","Ha Makotoko","OxA-27314",10135,45,"Oakhurst",-29.333,27.8,"charcoal"
"8","Grassridge","CAMS-170783",10125,50,"Oakhurst",-31.567,26.85,"charcoal"
"9","Ha Makotoko","OxA-27315",10125,45,"Oakhurst",-29.333,27.8,"charcoal"
"10","Nyonyane","TX-5636",10080,430,"Oakhurst",-27.3,31.9,"charcoal"
"11","Ha Makotoko","UGAMS-8986",10060,30,"Oakhurst",-29.333,27.8,"charcoal"
"12","Ha Makotoko","Pta-5205",9970,90,"Oakhurst",-29.333,27.8,"charcoal"
"13","Bushman Rock  Shelter","GrN-4813",9940,80,"Oakhurst",-24.583,30.633,""
"14","Heuningsneskrans","Pta-099",9780,85,"Oakhurst",-24.6,30.65,"charcoal"
"15","Kruger Cave","KRU-9",9780,110,"Oakhurst",-25.75,27.25,""
"16","Sehonghong","Pta-6057",9740,140,"Oakhurst",-29.75,28.75,""
"17","Ntloana Tšoana","Pta-5207 ",9690,120,"Oakhurst",-29.317,27.817,"charcoal"
"18","Ntloana Tšoana","UGAMS-8979",9650,30,"Oakhurst",-29.317,27.817,"charcoal"
"19","Kruger Cave","KRU-8",9590,130,"Oakhurst",-25.75,27.25,""
"20","Bushman Rock  Shelter","GrN-5874",9570,55,"Oakhurst",-24.583,30.633,""
"21","Ntloana Tšoana","UGAMS-8980",9570,30,"Oakhurst",-29.317,27.817,"charcoal"
"22","Siphiso","Pta-004",9570,450,"Oakhurst",-26.3,31.967,"bone"
"23","Ntloana Tšoana","OxA-32159",9560,45,"Oakhurst",-29.317,27.817,"charcoal"
"24","Ntloana Tšoana","UGAMS-8978",9530,30,"Oakhurst",-29.317,27.817,"charcoal"
"25","Bushman Rock  Shelter","GrN-4854",9510,55,"Oakhurst",-24.583,30.633,""
"26","Ntloana Tšoana","OxA-26231",9505,55,"Oakhurst",-29.317,27.817,"charcoal"
"27","Ntloana Tšoana","Pta-5237 ",9420,110,"Oakhurst",-29.317,27.817,"charcoal"
"28","Ntloana Tšoana","UGAMS-8975",9420,30,"Oakhurst",-29.317,27.817,"charcoal"
"29","Siphiso","TX-5628",9380,90,"Oakhurst",-26.3,31.967,"snail"
"30","Siphiso","Y-1996",9370,160,"Oakhurst",-26.3,31.967,"bone"
"31","Siphiso","TX-5629",9360,190,"Oakhurst",-26.3,31.967,"eggshell"
"32","Ntloana Tšoana","OxA-26230",9335,30,"Oakhurst",-29.317,27.817,"charcoal"
"33","Ha Makotoko","UGAMS-8985",9320,30,"Oakhurst",-29.333,27.8,"charcoal"
"34","Ha Makotoko","Pta-5204 ",9290,90,"Oakhurst",-29.333,27.8,"charcoal"
"35","Sehonghong","Pta-6368 ",9280,45,"Oakhurst",-29.75,28.75,""
"36","Rose Cottage Cave","Pta-5599",9250,70,"Oakhurst",-29.25,27.5,"charcoal"
"37","Heuningsneskrans","LJ-3198",9230,100,"Oakhurst",-24.6,30.65,"eggshell"
"38","Ha Makotoko","UGAMS-11599",9220,30,"Oakhurst",-29.333,27.8,"charcoal"
"39","Ha Makotoko","OxA-27313",9215,45,"Oakhurst",-29.333,27.8,"charcoal"
"40","Ntloana Tšoana","UGAMS-8976",9150,30,"Oakhurst",-29.317,27.817,"charcoal"
"41","Ha Makotoko","OxA-27312",9115,40,"Oakhurst",-29.333,27.8,"charcoal"
"42","Kruger Cave","KRU-7",9090,90,"Oakhurst",-25.75,27.25,""
"43","Ha Makotoko","Pta-5192 ",8950,80,"Oakhurst",-29.333,27.8,"charcoal"
"44","Ntloana Tšoana","OxA-32160",8945,45,"Oakhurst",-29.317,27.817,"charcoal"
"45","Ntloana Tšoana","OxA-X-2460-48",8905,70,"Oakhurst",-29.317,27.817,"charcoal"
"46","Heuningsneskrans","LJ-3199",8880,100,"Oakhurst",-24.6,30.65,"eggshell"
"47","Siphiso","TX-5630",8860,180,"Oakhurst",-26.3,31.967,"eggshell"
"48","Ntloana Tšoana","OxA-32161",8820,40,"Oakhurst",-29.317,27.817,"charcoal"
"49","Ntloana Tšoana","OxA-32158",8802,39,"Oakhurst",-29.317,27.817,"charcoal"
"50","Ntloana Tšoana","UGAMS-8977",8790,30,"Oakhurst",-29.317,27.817,"charcoal"
"51","Ntloana Tšoana","Pta-5238 ",8780,30,"Oakhurst",-29.317,27.817,"charcoal"
"52","Ha Makotoko","UGAMS-11597",8710,30,"Oakhurst",-29.333,27.8,"charcoal"
"53","Siphiso","Pta-3540",8700,120,"Oakhurst",-26.3,31.967,"bone"
"54","Ntloana Tšoana","UGAMS-8974",8690,30,"Oakhurst",-29.317,27.817,"charcoal"
"55","Tloutle","Pta-5172",8680,70,"Oakhurst",-29.467,27.767,"charcoal"
"56","Rose Cottage Cave","Pta-5560 ",8614,38,"Oakhurst",-29.25,27.5,"charcoal"
"57","Ha Makotoko","OxA-27311",8595,45,"Oakhurst",-29.333,27.8,"charcoal"
"58","Blydefontein","SMU-1823",8541,417,"Oakhurst",-31.133,25.05,"charcoal"
"59","Jubilee Shelter","Wits-1436",8500,240,"Oakhurst",-25.683,27.983,"charcoal"
"60","Rose Cottage Cave","Pta-5600 ",8380,70,"Oakhurst",-29.25,27.5,"charcoal"
"61","Ha Makotoko","Pta-5191 ",8370,80,"Oakhurst",-29.333,27.8,"charcoal"
"62","Rose Cottage Cave","Pta-7287",8350,70,"Oakhurst",-29.25,27.5,"charcoal"
"63","Rose Cottage Cave","Pta-7122 ",8160,70,"Oakhurst",-29.25,27.5,"charcoal"
"64","Bonawe","Pta-1709",8040,100,"Oakhurst",-31.317,27.817,"charcoal"
"65","Siphiso","Pta-3533",7600,80,"Oakhurst",-26.3,31.967,"bone"
"66","Kruger Cave","KRU-6",7500,60,"Oakhurst",-25.75,27.25,""
"67","Sehonghong","Pta-6072 ",7210,80,"Oakhurst",-29.75,28.75,""
"68","Heuningsneskrans","Pta-112",7200,70,"Oakhurst",-24.6,30.65,"charred bone"
"69","Sehonghong","Pta-6278 ",7150,80,"Oakhurst",-29.75,28.75,""
"70","Sehonghong","Pta-6280 ",7090,80,"Oakhurst",-29.75,28.75,""
"71","Sehonghong","Pta-6083 ",7010,70,"Oakhurst",-29.75,28.75,""
"72","Kruger Cave","KRU-5",6760,100,"Oakhurst",-25.75,27.25,""
