"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated","Samp"
"1","Klipfonteinrand","D-AMS-002439",12303,41,"Oakhurst",-32.067,20.167,"",1
"2","Byneskranskop 1","OxA-32685",12250,55,"Oakhurst",-34.583,19.467,"bone",2
"3","Drotsky's Cave","S-16591",12250,150,"Oakhurst",-20.333,21.417,"",3
"4","Nelson Bay Cave","UW-177",11950,150,"Oakhurst",-34.101,23.378,"charcoal",1
"5","Klipfonteinrand","D-AMS-001836",11723,52,"Oakhurst",-32.067,20.167,"",2
"6","Nelson Bay Cave","UW-162 ",11505,110,"Oakhurst",-34.101,23.378,"charcoal",3
"7","Matjies River","L-336H",11250,400,"Oakhurst",-34.017,23.417,"charcoal",1
"8","Drotsky's Cave","Beta-50163",11240,60,"Oakhurst",-20.333,21.417,"",2
"9","Nelson Bay Cave","I-6515",11080,260,"Oakhurst",-34.101,23.378,"charcoal",3
"10","Elands Bay Cave","UW-0192",11070,140,"Oakhurst",-32.317,18.318,"charcoal",1
"11","Nyonyane","TX-5637",10970,430,"Oakhurst",-27.3,31.9,"charcoal",2
"12","Elands Bay Cave","AA-5833",10840,70,"Oakhurst",-32.317,18.318,"",3
"13","Elands Bay Cave","Pta-0737",10700,100,"Oakhurst",-32.317,18.318,"",1
"14","Elands Bay Cave","Pta-5369",10660,100,"Oakhurst",-32.317,18.318,"",2
"15","Matjies River","Pta-6702",10660,280,"Oakhurst",-34.017,23.417,"charcoal",3
"16","Elands Bay Cave","Pta-0732",10640,110,"Oakhurst",-32.317,18.318,"",1
"17","Elands Bay Cave","Pta-6758",10620,100,"Oakhurst",-32.317,18.318,"",2
"18","Nelson Bay Cave","UW-218",10600,150,"Oakhurst",-34.101,23.378,"charcoal",3
"19","Elands Bay Cave","Pta-5361",10560,100,"Oakhurst",-32.317,18.318,"",1
"20","Nelson Bay Cave","UW-178",10540,110,"Oakhurst",-34.101,23.378,"sediments",2
"21","Matjies River","L-336G",10500,400,"Oakhurst",-34.017,23.417,"charcoal",3
"22","Melkhoutboom","GaK-1538",10500,190,"Oakhurst",-33.317,25.283,"",1
"23","Elands Bay Cave","Pta-5336",10460,80,"Oakhurst",-32.317,18.318,"",2
"24","Heuningsneskrans","Pta-114",10430,150,"Oakhurst",-24.6,30.65,"charred bone",3
"25","Boomplaas","UW-411",10425,125,"Oakhurst",-33.383,22.183,"",1
"26","Nelson Bay Cave","OxA-32455",10340,50,"Oakhurst",-34.101,23.378,"bone",2
"27","Nelson Bay Cave","Q-1085 ",10256,210,"Oakhurst",-34.101,23.378,"charcoal",3
"28","Matjies River","Pta-6951 ",10215,25,"Oakhurst",-34.017,23.417,"marine shell",1
"29","Ntloana Tšoana","Pta-5208 ",10200,100,"Oakhurst",-29.317,27.817,"charcoal",2
"30","Ha Makotoko","OxA-27316",10190,45,"Oakhurst",-29.333,27.8,"charcoal",3
"31","Nelson Bay Cave","UW-164 ",10180,85,"Oakhurst",-34.101,23.378,"charcoal",1
"32","Matjies River","Pta-6848",10155,30,"Oakhurst",-34.017,23.417,"marine shell",2
"33","Nelson Bay Cave","OxA-32454",10155,45,"Oakhurst",-34.101,23.378,"bone",3
"34","Nelson Bay Cave","Pta-392 ",10150,90,"Oakhurst",-34.101,23.378,"charcoal",1
"35","Ha Makotoko","OxA-27314",10135,45,"Oakhurst",-29.333,27.8,"charcoal",2
"36","Grassridge","CAMS-170783",10125,50,"Oakhurst",-31.567,26.85,"charcoal",3
"37","Ha Makotoko","OxA-27315",10125,45,"Oakhurst",-29.333,27.8,"charcoal",1
"38","Matjies River","Pta-6838 ",10120,40,"Oakhurst",-34.017,23.417,"charcoal",2
"39","Matjies River","UCLA-1746-C-2 ",10100,190,"Oakhurst",-34.017,23.417,"",3
"40","Elands Bay Cave","UW-0193",10090,65,"Oakhurst",-32.317,18.318,"charcoal",1
"41","Nyonyane","TX-5636",10080,430,"Oakhurst",-27.3,31.9,"charcoal",2
"42","Ha Makotoko","UGAMS-8986",10060,30,"Oakhurst",-29.333,27.8,"charcoal",3
"43","Matjies River","Pta-6925",10055,30,"Oakhurst",-34.017,23.417,"marine shell",1
"44","Byneskranskop 1","OxA-32684",10015,45,"Oakhurst",-34.583,19.467,"bone",2
"45","Elands Bay Cave","Pta-2481",10000,90,"Oakhurst",-32.317,18.318,"",3
"46","Ha Makotoko","Pta-5205",9970,90,"Oakhurst",-29.333,27.8,"charcoal",1
"47","Elands Bay Cave","Pta-2592",9950,270,"Oakhurst",-32.317,18.318,"marine other",2
"48","Bushman Rock  Shelter","GrN-4813",9940,80,"Oakhurst",-24.583,30.633,"",3
"49","Matjies River","Pta-6936 ",9890,70,"Oakhurst",-34.017,23.417,"charcoal",1
"50","Havens Cave","Pta-4620",9790,90,"Oakhurst",-33.667,24.35,"",2
"51","Matjies River","Pta-6937 ",9790,90,"Oakhurst",-34.017,23.417,"charcoal",3
"52","Heuningsneskrans","Pta-099",9780,85,"Oakhurst",-24.6,30.65,"charcoal",1
"53","Kruger Cave","KRU-9",9780,110,"Oakhurst",-25.75,27.25,"",2
"54","Byneskranskop 1","Pta-1587 ",9760,85,"Oakhurst",-34.583,19.467,"",3
"55","Sehonghong","Pta-6057",9740,140,"Oakhurst",-29.75,28.75,"",1
"56","Ntloana Tšoana","Pta-5207 ",9690,120,"Oakhurst",-29.317,27.817,"charcoal",2
"57","Matjies River","OxA-V-2064-56 ",9688,36,"Oakhurst",-34.017,23.417,"",3
"58","Ntloana Tšoana","UGAMS-8979",9650,30,"Oakhurst",-29.317,27.817,"charcoal",1
"59","Elands Bay Cave","Pta-5306",9640,90,"Oakhurst",-32.317,18.318,"",2
"60","Matjies River","Pta-6686 ",9610,170,"Oakhurst",-34.017,23.417,"charcoal",3
"61","Elands Bay Cave","Pta-686",9600,90,"Oakhurst",-32.317,18.318,"",1
"62","Kruger Cave","KRU-8",9590,130,"Oakhurst",-25.75,27.25,"",2
"63","Bushman Rock  Shelter","GrN-5874",9570,55,"Oakhurst",-24.583,30.633,"",3
