"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated"
"1","Byneskranskop 1","OxA-32685",12250,55,"Oakhurst",-34.583,19.467,"bone"
"2","Nelson Bay Cave","UW-177",11950,150,"Oakhurst",-34.101,23.378,"charcoal"
"3","Nelson Bay Cave","UW-162 ",11505,110,"Oakhurst",-34.101,23.378,"charcoal"
"4","Matjies River","L-336H",11250,400,"Oakhurst",-34.017,23.417,"charcoal"
"5","Nelson Bay Cave","I-6515",11080,260,"Oakhurst",-34.101,23.378,"charcoal"
"6","Matjies River","Pta-6702",10660,280,"Oakhurst",-34.017,23.417,"charcoal"
"7","Nelson Bay Cave","UW-218",10600,150,"Oakhurst",-34.101,23.378,"charcoal"
"8","Nelson Bay Cave","UW-178",10540,110,"Oakhurst",-34.101,23.378,"sediments"
"9","Matjies River","L-336G",10500,400,"Oakhurst",-34.017,23.417,"charcoal"
"10","Melkhoutboom","GaK-1538",10500,190,"Oakhurst",-33.317,25.283,""
"11","Boomplaas","UW-411",10425,125,"Oakhurst",-33.383,22.183,""
"12","Nelson Bay Cave","OxA-32455",10340,50,"Oakhurst",-34.101,23.378,"bone"
"13","Nelson Bay Cave","Q-1085 ",10256,210,"Oakhurst",-34.101,23.378,"charcoal"
"14","Matjies River","Pta-6951 ",10215,25,"Oakhurst",-34.017,23.417,"marine shell"
"15","Nelson Bay Cave","UW-164 ",10180,85,"Oakhurst",-34.101,23.378,"charcoal"
"16","Matjies River","Pta-6848",10155,30,"Oakhurst",-34.017,23.417,"marine shell"
"17","Nelson Bay Cave","OxA-32454",10155,45,"Oakhurst",-34.101,23.378,"bone"
"18","Nelson Bay Cave","Pta-392 ",10150,90,"Oakhurst",-34.101,23.378,"charcoal"
"19","Matjies River","Pta-6838 ",10120,40,"Oakhurst",-34.017,23.417,"charcoal"
"20","Matjies River","UCLA-1746-C-2 ",10100,190,"Oakhurst",-34.017,23.417,""
"21","Matjies River","Pta-6925",10055,30,"Oakhurst",-34.017,23.417,"marine shell"
"22","Byneskranskop 1","OxA-32684",10015,45,"Oakhurst",-34.583,19.467,"bone"
"23","Matjies River","Pta-6936 ",9890,70,"Oakhurst",-34.017,23.417,"charcoal"
"24","Havens Cave","Pta-4620",9790,90,"Oakhurst",-33.667,24.35,""
"25","Matjies River","Pta-6937 ",9790,90,"Oakhurst",-34.017,23.417,"charcoal"
"26","Byneskranskop 1","Pta-1587 ",9760,85,"Oakhurst",-34.583,19.467,""
"27","Matjies River","OxA-V-2064-56 ",9688,36,"Oakhurst",-34.017,23.417,""
"28","Matjies River","Pta-6686 ",9610,170,"Oakhurst",-34.017,23.417,"charcoal"
"29","Nelson Bay Cave","OxA-32453",9325,45,"Oakhurst",-34.101,23.378,"bone"
"30","Kangkara Cave","Pta-2307 ",9260,90,"Oakhurst",-33.783,23.083,"bone"
"31","Boomplaas","UW-410 ",9100,135,"Oakhurst",-33.383,22.183,""
"32","Nelson Bay Cave","Pta-391 ",8990,80,"Oakhurst",-34.101,23.378,"charcoal"
"33","Buffelskloof","Pta-1484",8960,80,"Oakhurst",-33.667,21.867,""
"34","Oakhurst","Pta-410",8950,90,"Oakhurst",-33.933,22.617,"bone"
"35","Nelson Bay Cave","UW-184 ",8570,170,"Oakhurst",-34.101,23.378,"marine shell"
"36","Nelson Bay Cave","OxA-32451",8550,37,"Oakhurst",-34.101,23.378,"bone"
"37","Nelson Bay Cave","OxA-32452",8447,39,"Oakhurst",-34.101,23.378,"bone"
"38","Wilton Large Rock Shelter","GaK-1541",8260,720,"Oakhurst",-33.325,26.142,"charcoal"
"39","Nelson Bay Cave","UW-181 ",8070,240,"Oakhurst",-34.101,23.378,"other"
"40","Matjies River","Pta-6688 ",7920,100,"Oakhurst",-34.017,23.417,"charcoal"
"41","Matjies River","Pta-6687 ",7900,340,"Oakhurst",-34.017,23.417,"charcoal"
"42","Matjies River","Pta-6831 ",7685,30,"Oakhurst",-34.017,23.417,"marine shell"
"43","Melkhoutboom","Pta-666 ",7660,80,"Oakhurst",-33.317,25.283,""
"44","Matjies River","Pta-6823 ",7400,30,"Oakhurst",-34.017,23.417,"charcoal"
"45","Kangkara Cave","Pta-2812 ",7330,100,"Oakhurst",-33.783,23.083,"bone"
