"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated"
"1","Good Hope Shelter","Pta-1480 ",7670,55,"Wilton",-29.656,29.427,"charcoal"
"2","Rose Cottage Cave","Pta-6783",7630,80,"Wilton",-29.25,27.5,"charcoal"
"3","Maqonqo Shelter","Pta-6260 ",7460,140,"Wilton",-28.344,30.424,"charcoal"
"4","Siphiso","TX-5627",7300,100,"Wilton",-26.3,31.967,"snail"
"5","Apollo 11 Cave","Pta-1020",7280,80,"Wilton",-27.75,17.1,"charcoal"
"6","Tloutle","Pta-5171",7230,80,"Wilton",-29.467,27.767,"charcoal"
"7","Apollo 11 Cave","KN-I-867",7200,75,"Wilton",-27.75,17.1,"charcoal"
"8","Tloutle","Pta-5162 ",6910,80,"Wilton",-29.467,27.767,"charcoal"
"9","Sehonghong","Q-3174 ",6870,60,"Wilton",-29.75,28.75,""
"10","Siphiso","TX-5626",6860,110,"Wilton",-26.3,31.967,"snail"
"11","Rose Cottage Cave","GrN-5299",6850,45,"Wilton",-29.25,27.5,"charcoal"
"12","Tshisiku Shelter","Pta-8709",6750,60,"Wilton",-22.233,29.148,""
"13","Siphiso","TX-5623",6680,160,"Wilton",-26.3,31.967,"eggshell"
"14","Siphiso","TX-5625",6670,90,"Wilton",-26.3,31.967,"eggshell"
"15","Nkupe Shelter","Pta-3455",6650,80,"Wilton",-28.147,29.937,"charcoal"
"16","Mgede Shelter","Pta-3508",6550,70,"Wilton",-28.17,29.687,"charcoal"
"17","Siphiso","TX-5624",6540,100,"Wilton",-26.3,31.967,"snail"
"18","Jubilee Shelter","Wits-1462",6490,200,"Wilton",-25.683,27.983,"charcoal"
"19","Apollo 11 Cave","Pta-1019",6480,80,"Wilton",-27.75,17.1,"charcoal"
"20","Grassridge","Beta-532051",6470,30,"Wilton",-31.567,26.85,"charcoal"
"21","Grassridge","Beta-532052",6360,30,"Wilton",-31.567,26.85,"charcoal"
"22","Grassridge","UCI-209045",6355,25,"Wilton",-31.567,26.85,"charcoal"
"23","Maqonqo Shelter","Pta-6258 ",6300,80,"Wilton",-28.344,30.424,"charcoal"
"24","Uniondale","Pta-4334",6300,200,"Wilton",-33.15,26.383,""
"25","Colwinton","Pta-2550",6270,40,"Wilton",-31.15,27.767,"charcoal"
"26","Apollo 11 Cave","KN-I-609",6200,65,"Wilton",-27.75,17.1,"charcoal"
"27","Grassridge","CAMS-170784",6200,35,"Wilton",-31.567,26.85,"charcoal"
"28","Rooikrans","Wits-2003",6150,100,"Wilton",-27.033,27.367,"bone"
"29","Tloutle","Pta-5158 ",6140,100,"Wilton",-29.467,27.767,"charcoal"
"30","Cave James","Wits-1744 ",6130,110,"Wilton",-25.683,27.983,""
"31","Grassridge","UCI-209044",6100,15,"Wilton",-31.567,26.85,"charcoal"
"32","Grassridge","UCI-209043",6085,15,"Wilton",-31.567,26.85,"charcoal"
"33","Grassridge","UCI-209042",6040,15,"Wilton",-31.567,26.85,"charcoal"
"34","Grassridge","UCI-209041",6015,15,"Wilton",-31.567,26.85,"charcoal"
"35","Rose Cottage Cave","Pta-5934 ",5970,70,"Wilton",-29.25,27.5,"charcoal"
"36","Sehonghong","Pta-6154",5950,70,"Wilton",-29.75,28.75,""
"37","Nkupe Shelter","Pta-3460 ",5760,70,"Wilton",-28.147,29.937,"charcoal"
"38","Siphiso","TX-5621",5710,280,"Wilton",-26.3,31.967,"bone"
"39","Gehle Shelter","Pta-3585",5690,70,"Wilton",-29.13,29.906,""
"40","Maqonqo Shelter","Pta-6253 ",5680,70,"Wilton",-28.344,30.424,"charcoal"
"41","Tshisiku Shelter","Pta-8652 ",5440,60,"Wilton",-22.233,29.148,""
"42","Jubilee Shelter","Wits-1450 ",5250,129,"Wilton",-25.683,27.983,"charcoal"
"43","Leliehoek","Wits-2010",5210,100,"Wilton",-29.117,27.25,"eggshell"
"44","Maqonqo Shelter","Pta-6255 ",4960,70,"Wilton",-28.344,30.424,"charcoal"
"45","Diamond Shelter","Pta-3246",4900,60,"Wilton",-28.492,28.948,"charcoal"
"46","Leliehoek","Wits-2009 ",4860,100,"Wilton",-29.117,27.25,"eggshell"
"47","Maqonqo Shelter","Pta-5898 ",4790,60,"Wilton",-28.344,30.424,"charcoal"
"48","Maqonqo Shelter","Pta-6251 ",4640,70,"Wilton",-28.344,30.424,"charcoal"
"49","Springbokoog 1","Pta-4091",4630,60,"Wilton",-30.217,21.533,"eggshell"
"50","Nkupe Shelter","Pta-3276 ",4590,70,"Wilton",-28.147,29.937,"charcoal"
"51","Uniondale","Pta-4322",4520,60,"Wilton",-33.15,26.383,""
"52","Springbokoog 20","Pta-4785",4440,60,"Wilton",-30.217,21.533,"eggshell"
"53","Mgede Shelter","Pta-3505 ",4390,70,"Wilton",-28.17,29.687,"charcoal"
"54","Gehle Shelter","Pta-3245 ",4330,60,"Wilton",-29.13,29.906,""
"55","Maqonqo Shelter","Pta-5900 ",4300,20,"Wilton",-28.344,30.424,"charcoal"
"56","Blydefontein","SMU-1852",4286,149,"Wilton",-31.133,25.05,"charcoal"
"57","Amadzimba Cave","BM-57",4200,150,"Wilton",-20.75,28.75,"other"
