"","site","Site.code","lat","lon","Country","Province.or.district","RFZ","Biome","Stratigraphic.context","Dating.technique","Material.dated","Species","Lab.ID","c14age","c14std","Archaeological.Period","culture","Sample.context","Site.Type","delta.13","refcode","Notes"
"1","Amadzimba Cave","AMZ",-20.75,28.75,"Zimbabwe","Matabeleland South","S","Savanna Biome","6-12"", sq. Ce, Cf","conventional 14C","other","","BM-57",4200,150,"LSA","Wilton","","rock shelter",NA,"barker1960bmn","carbonized bone and wood ash"
"2","Apollo 11 Cave","A11",-27.75,17.1,"Namibia","||Karas Region","S","Desert Biome","Layer C","conventional 14C","charcoal","","KN-I-609",6200,65,"LSA","Wilton","","rock shelter",NA,"freundlich1980rm","microlithic LSA"
"3","Apollo 11 Cave","A11",-27.75,17.1,"Namibia","||Karas Region","S","Desert Biome","Layer C","conventional 14C","charcoal","","KN-I-867",7200,75,"LSA","Wilton","","rock shelter",NA,"freundlich1980rm","microlithic LSA"
"4","Apollo 11 Cave","A11",-27.75,17.1,"Namibia","||Karas Region","S","Desert Biome","Layer C:B9","conventional 14C","charcoal","","Pta-1019",6480,80,"LSA","Wilton","","rock shelter",NA,"vogel1981prd","microlithic LSA"
"5","Apollo 11 Cave","A11",-27.75,17.1,"Namibia","||Karas Region","S","Desert Biome","Layer C","conventional 14C","charcoal","","Pta-1020",7280,80,"LSA","Wilton","","rock shelter",NA,"vogel1981prd","microlithic LSA"
"6","Blombosfontein 1","BBF1",-34.4,21.217,"South Africa","Western Cape","Y","Fynbos Biome","","conventional 14C","marine shell","","Pta-6177",6960,70,"LSA","Wilton","","rock shelter",NA,"henshilwood2008hps",""
"7","Blombosfontein 2","BBF2",-34.4,21.217,"South Africa","Western Cape","Y","Fynbos Biome","","conventional 14C","marine shell","","Pta-6181",6740,70,"LSA","Wilton","","rock shelter",NA,"henshilwood2008hps",""
"8","Blombosfontein 3","BBF3",-34.4,21.217,"South Africa","Western Cape","Y","Fynbos Biome","","conventional 14C","marine shell","","Pta-6180",5960,70,"LSA","Wilton","","rock shelter",NA,"henshilwood2008hps",""
"9","Blombosfontein 4","BBF4",-34.4,21.217,"South Africa","Western Cape","Y","Fynbos Biome","","conventional 14C","marine shell","","Pta-6176",5680,70,"LSA","Wilton","","rock shelter",NA,"henshilwood2008hps",""
"10","Blombosfontein 5","BBF5",-34.4,21.217,"South Africa","Western Cape","Y","Fynbos Biome","","conventional 14C","marine shell","","Pta-6182 ",5520,70,"LSA","Wilton","","rock shelter",NA,"henshilwood2008hps",""
"11","Blombosfontein 6","BBF6",-34.4,21.217,"South Africa","Western Cape","Y","Fynbos Biome","","conventional 14C","marine shell","","Pta-6178",4070,60,"LSA","Wilton","","rock shelter",NA,"henshilwood2008hps",""
"12","Blombosfontein 6","BBF6",-34.4,21.217,"South Africa","Western Cape","Y","Fynbos Biome","","conventional 14C","marine shell","","Pta-6709",3630,70,"LSA","Wilton","","rock shelter",NA,"henshilwood2008hps",""
"13","Blydefontein","BLY",-31.133,25.05,"South Africa","Northern Cape","S","Grassland Biome","GAC/CAU3","AMS","bone","","D-AMS-1231",2728,32,"LSA","Wilton","","rock shelter",NA,"bousman2005cls; bousman2016qed","Developed Wilton"
"14","Blydefontein","BLY",-31.133,25.05,"South Africa","Northern Cape","S","Grassland Biome","GAC/CAU3","AMS","bone","","OxA-27365",2791,25,"LSA","Wilton","","rock shelter",-18.6,"bousman2005cls; bousman2016qed","Developed Wilton"
"15","Blydefontein","BLY",-31.133,25.05,"South Africa","Northern Cape","S","Grassland Biome","GAC/CAU4","conventional 14C","charcoal","","SMU-1849",3135,33,"LSA","Wilton","","rock shelter",NA,"bousman2005cls; bousman2016qed","Developed Wilton"
"16","Blydefontein","BLY",-31.133,25.05,"South Africa","Northern Cape","S","Grassland Biome","TG-CAC/CAU6","conventional 14C","charcoal","","SMU-1851",4066,55,"LSA","Wilton","","rock shelter",NA,"bousman2005cls; bousman2016qed","Developed Wilton"
"17","Blydefontein","BLY",-31.133,25.05,"South Africa","Northern Cape","S","Grassland Biome","TG-CAC/CAU6","conventional 14C","charcoal","","SMU-1852",4286,149,"LSA","Wilton","","rock shelter",NA,"bousman2005cls; bousman2016qed","Developed Wilton"
"18","Blydefontein","BLY",-31.133,25.05,"South Africa","Northern Cape","S","Grassland Biome","TG/CAU6","conventional 14C","charcoal","","SMU-1901",4101,273,"LSA","Wilton","","rock shelter",NA,"bousman2005cls; bousman2016qed","Developed Wilton"
"19","Blydefontein","BLY",-31.133,25.05,"South Africa","Northern Cape","S","Grassland Biome","Level 6","conventional 14C","charcoal","","SR-142",3090,100,"LSA","Wilton","","rock shelter",NA,"bousman2005cls; bousman2016qed","Developed Wilton"
"20","Blydefontein","BLY",-31.133,25.05,"South Africa","Northern Cape","S","Grassland Biome","Level 8","conventional 14C","charcoal","","SR-152",3650,120,"LSA","Wilton","","rock shelter",NA,"bousman2005cls; bousman2016qed","Developed Wilton"
"21","Boomplaas","BMP",-33.383,22.183,"South Africa","Western Cape","Y","Fynbos Biome","","conventional 14C","","","UW-306",6400,75,"LSA","Wilton","","rock shelter",NA,"deacon1984lss",""
